benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7915150643,379616280,1710913433666
akka-uct,7211084930,8442314924,1710913433666
akka-uct,6431486740,15770328270,1710913433666
akka-uct,6385921707,22333357539,1710913433666
akka-uct,6279975428,28839105568,1710913433666
akka-uct,5992718393,35241785443,1710913433666
akka-uct,6272741621,41357738715,1710913433666
akka-uct,6344396396,47771376437,1710913433666
akka-uct,6239375065,54291250056,1710913433666
akka-uct,5993436420,60666096139,1710913433666
akka-uct,6248105972,66787138507,1710913433666
akka-uct,6361689286,73201733010,1710913433666
akka-uct,5989800149,79774725511,1710913433666
akka-uct,6117711131,85981965884,1710913433666
akka-uct,6126898765,92263754517,1710913433666
akka-uct,6379924581,98608382814,1710913433666
akka-uct,6015550301,105165324028,1710913433666
akka-uct,6038322130,111323553825,1710913433666
akka-uct,6232336333,117505051370,1710913433666
akka-uct,6043338047,123921561797,1710913433666
akka-uct,6254535511,130091312342,1710913433666
akka-uct,6022599116,136516725193,1710913433666
akka-uct,6072577220,142647404373,1710913433666
akka-uct,5883755056,148848619069,1710913433666
