benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7313674488,367034493,1710913588609
akka-uct,7049887703,7819727633,1710913588609
akka-uct,5868619570,15008501171,1710913588609
akka-uct,5928079122,20975401581,1710913588609
akka-uct,5937435714,27014695407,1710913588609
akka-uct,5888973215,33078365840,1710913588609
akka-uct,5629673076,39099283624,1710913588609
akka-uct,5938986579,44909013589,1710913588609
akka-uct,5889456870,51003695497,1710913588609
akka-uct,5853742698,57038088047,1710913588609
akka-uct,5666282466,63016145208,1710913588609
akka-uct,5614180689,68860329106,1710913588609
akka-uct,5817803690,74666512302,1710913588609
akka-uct,5722982104,80702014789,1710913588609
akka-uct,5601059662,86579611849,1710913588609
akka-uct,5579792091,92306035895,1710913588609
akka-uct,5853249322,98018501920,1710913588609
akka-uct,5741568612,104059287339,1710913588609
akka-uct,5810428849,109933900769,1710913588609
akka-uct,5800455269,115919754273,1710913588609
akka-uct,5907340237,121889736040,1710913588609
akka-uct,5827864688,127974164561,1710913588609
akka-uct,5515408995,133929898839,1710913588609
akka-uct,5489745695,139615055934,1710913588609
