benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7321511484,371093571,1710913882165
akka-uct,6813111945,7855520741,1710913882165
akka-uct,5588468857,14846263556,1710913882165
akka-uct,6038958956,20551258767,1710913882165
akka-uct,5667569690,26704323697,1710913882165
akka-uct,5976660127,32484664380,1710913882165
akka-uct,5801545785,38638809783,1710913882165
akka-uct,5716887966,44571624425,1710913882165
akka-uct,5808642855,50393660648,1710913882165
akka-uct,5905730564,56319738209,1710913882165
akka-uct,5563167545,62356039622,1710913882165
akka-uct,5660510197,68105520556,1710913882165
akka-uct,5863501581,73907775173,1710913882165
akka-uct,5691121681,79945992361,1710913882165
akka-uct,5906068797,85804054883,1710913882165
akka-uct,5677980506,91917986016,1710913882165
akka-uct,5512049045,97715820654,1710913882165
akka-uct,5501958786,103383065188,1710913882165
akka-uct,5836681924,109058366279,1710913882165
akka-uct,5965098828,115070897827,1710913882165
akka-uct,5783228464,121204118594,1710913882165
akka-uct,5750602978,127135460655,1710913882165
akka-uct,5578371954,133041909740,1710913882165
akka-uct,5767821327,138815972411,1710913882165
