benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7522568020,376741896,1710914169996
akka-uct,7035621259,8039462792,1710914169996
akka-uct,5852431364,15197257635,1710914169996
akka-uct,5838402329,21168284496,1710914169996
akka-uct,5829249318,27130534581,1710914169996
akka-uct,5744602186,33075427334,1710914169996
akka-uct,5777820419,38965933046,1710914169996
akka-uct,5690673282,44902217056,1710914169996
akka-uct,5573618038,50730963584,1710914169996
akka-uct,5851339948,56417325412,1710914169996
akka-uct,5595049491,62390139005,1710914169996
akka-uct,5831020042,68100496146,1710914169996
akka-uct,5744668803,74090782054,1710914169996
akka-uct,5785780267,80068557806,1710914169996
akka-uct,5697951209,86008793011,1710914169996
akka-uct,5703795611,91883678815,1710914169996
akka-uct,5780209253,97747288121,1710914169996
akka-uct,5943354640,103703450353,1710914169996
akka-uct,5738710592,109801492191,1710914169996
akka-uct,5598612163,115680495928,1710914169996
akka-uct,5678356661,121538679295,1710914169996
akka-uct,5557195056,127340365986,1710914169996
akka-uct,5800328293,133059801325,1710914169996
akka-uct,5732867012,139047420100,1710914169996
