benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7303979516,366795792,1710914607772
akka-uct,6720488030,7803735757,1710914607772
akka-uct,5877607491,14644956359,1710914607772
akka-uct,5766763067,20675184671,1710914607772
akka-uct,6087415338,26572607388,1710914607772
akka-uct,5882186510,32801303678,1710914607772
akka-uct,5783894263,38828330380,1710914607772
akka-uct,5618346008,44741277194,1710914607772
akka-uct,5935003527,50476638757,1710914607772
akka-uct,5895806142,56547535114,1710914607772
akka-uct,5870523761,62564686949,1710914607772
akka-uct,5885377481,68569994764,1710914607772
akka-uct,5692899100,74578541058,1710914607772
akka-uct,5678383096,80464312456,1710914607772
akka-uct,5848944161,86294399300,1710914607772
akka-uct,5503134698,92279519028,1710914607772
akka-uct,5720910208,97877009359,1710914607772
akka-uct,5990305357,103777105535,1710914607772
akka-uct,5959182843,109890843347,1710914607772
akka-uct,5627335541,115979923129,1710914607772
akka-uct,5796193378,121714986864,1710914607772
akka-uct,5715158940,127657332378,1710914607772
akka-uct,5791987766,133523708585,1710914607772
akka-uct,5625678296,139491635317,1710914607772
