benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7570740993,387361563,1710916004178
akka-uct,6902340839,8121906667,1710916004178
akka-uct,5739942470,15176073417,1710916004178
akka-uct,6083297978,21054135588,1710916004178
akka-uct,5708297733,27295570687,1710916004178
akka-uct,5880771894,33128779859,1710916004178
akka-uct,5904460780,39136394385,1710916004178
akka-uct,5749943310,45161412191,1710916004178
akka-uct,5966902352,51031140317,1710916004178
akka-uct,5860277468,57120456351,1710916004178
akka-uct,5717080474,63094505408,1710916004178
akka-uct,5631412709,68933966852,1710916004178
akka-uct,5731589264,74723404146,1710916004178
akka-uct,5789755031,80660598657,1710916004178
akka-uct,5861640522,86639203213,1710916004178
akka-uct,5796622955,92660257507,1710916004178
akka-uct,5885923680,98587585389,1710916004178
akka-uct,5653169218,104634464881,1710916004178
akka-uct,5724754738,110450603778,1710916004178
akka-uct,5867220733,116321920814,1710916004178
akka-uct,5765189140,122361757526,1710916004178
akka-uct,5949968589,128272667479,1710916004178
akka-uct,5833954449,134373254286,1710916004178
akka-uct,5466918436,140366821328,1710916004178
