benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7456715086,370933904,1710916299125
akka-uct,6883126366,7953317946,1710916299125
akka-uct,5848041662,14964405655,1710916299125
akka-uct,5960207867,20926972456,1710916299125
akka-uct,5440129902,27009488877,1710916299125
akka-uct,6233229693,32589504444,1710916299125
akka-uct,5657334826,39004171924,1710916299125
akka-uct,5839743961,44849557660,1710916299125
akka-uct,5479809349,50837708636,1710916299125
akka-uct,5639472840,56468633104,1710916299125
akka-uct,5754314953,62242754431,1710916299125
akka-uct,5576294349,68182638218,1710916299125
akka-uct,5905483851,73914147237,1710916299125
akka-uct,5482198538,80027220198,1710916299125
akka-uct,6053865980,85695582966,1710916299125
akka-uct,5771166750,91927990995,1710916299125
akka-uct,5635964601,97869314701,1710916299125
akka-uct,5922177181,103663346931,1710916299125
akka-uct,6062608086,109715837178,1710916299125
akka-uct,5764481899,115935965306,1710916299125
akka-uct,5659807296,121854563219,1710916299125
akka-uct,5587634727,127666978543,1710916299125
akka-uct,5606335416,133406440114,1710916299125
akka-uct,5753382186,139178359393,1710916299125
