benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7813645928,366291551,1710916444294
akka-uct,6377867317,8341416372,1710916444294
akka-uct,5853593476,14837204955,1710916444294
akka-uct,5829338809,20829331682,1710916444294
akka-uct,5779075989,26779892520,1710916444294
akka-uct,5986971980,32660368695,1710916444294
akka-uct,6028811153,38807466056,1710916444294
akka-uct,5691385345,44961592083,1710916444294
akka-uct,5618088274,50782198224,1710916444294
akka-uct,5709754890,56515622528,1710916444294
akka-uct,6052345992,62349836337,1710916444294
akka-uct,5829183598,68534056887,1710916444294
akka-uct,5627687721,74545476718,1710916444294
akka-uct,5753821219,80408301270,1710916444294
akka-uct,5818800411,86330916325,1710916444294
akka-uct,5855234999,92307739562,1710916444294
akka-uct,5586139057,98266448111,1710916444294
akka-uct,5782833732,104005698292,1710916444294
akka-uct,5753096373,109958466803,1710916444294
akka-uct,5387434115,115884775958,1710916444294
akka-uct,5946476058,121451402042,1710916444294
akka-uct,5558965653,127541093333,1710916444294
akka-uct,5827020233,133240470431,1710916444294
akka-uct,5963370989,139214612191,1710916444294
