benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7557499775,380008784,1710913141392
akka-uct,6674358432,8093743544,1710913141392
akka-uct,6030758939,14888638165,1710913141392
akka-uct,5959813709,21037621721,1710913141392
akka-uct,5731439296,27133672535,1710913141392
akka-uct,5715442412,33006693439,1710913141392
akka-uct,5723757174,38827018041,1710913141392
akka-uct,5732491340,44660011841,1710913141392
akka-uct,5676293008,50527111615,1710913141392
akka-uct,5872305190,56375192891,1710913141392
akka-uct,5711619133,62408985932,1710913141392
akka-uct,5610769130,68289409205,1710913141392
akka-uct,5549955277,74021022794,1710913141392
akka-uct,5674692706,79775660420,1710913141392
akka-uct,5621346180,85700888992,1710913141392
akka-uct,6007296504,91515889173,1710913141392
akka-uct,5487783122,97716782305,1710913141392
akka-uct,5545996099,103407569634,1710913141392
akka-uct,5594219452,109094618364,1710913141392
akka-uct,5532304807,114836203466,1710913141392
akka-uct,5911483983,120499483928,1710913141392
akka-uct,5894965956,126567428044,1710913141392
akka-uct,5590884781,132616450009,1710913141392
akka-uct,5818394034,138382767442,1710913141392
