benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7900006897,375649775,1710917175724
akka-uct,6824237866,8418496675,1710917175724
akka-uct,5756377420,15348460271,1710917175724
akka-uct,5907034910,21226832363,1710917175724
akka-uct,5730059744,27249595707,1710917175724
akka-uct,5784095635,33095863053,1710917175724
akka-uct,5949046658,38998353503,1710917175724
akka-uct,5682065963,45057768268,1710917175724
akka-uct,5610014690,50896776239,1710917175724
akka-uct,5887388312,56662801041,1710917175724
akka-uct,5813185421,62706354382,1710917175724
akka-uct,5666788051,68674094124,1710917175724
akka-uct,5778456582,74497899041,1710917175724
akka-uct,5711938328,80531870130,1710917175724
akka-uct,5651660553,86392791046,1710917175724
akka-uct,5828773912,92188533630,1710917175724
akka-uct,5663966496,98132103799,1710917175724
akka-uct,5679367234,103903532677,1710917175724
akka-uct,5715799151,109695469483,1710917175724
akka-uct,5726705988,115554635090,1710917175724
akka-uct,5825002563,121460948060,1710917175724
akka-uct,5741076303,127413379470,1710917175724
akka-uct,5563805880,133314884397,1710917175724
akka-uct,5795474229,139020346255,1710917175724
