benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,7979846003,369696043,1710917759036
akka-uct,7037813237,8520314670,1710917759036
akka-uct,6743741838,15695668093,1710917759036
akka-uct,6466188572,22538412398,1710917759036
akka-uct,6716968219,29136660595,1710917759036
akka-uct,6503292601,35960720064,1710917759036
akka-uct,6675471828,42613860609,1710917759036
akka-uct,7257427685,49409116042,1710917759036
akka-uct,6179305751,56768074674,1710917759036
akka-uct,6545616487,63109670303,1710917759036
akka-uct,6372865661,69835520267,1710917759036
akka-uct,6417047803,76372939569,1710917759036
akka-uct,6447297446,82951540442,1710917759036
akka-uct,6539683184,89582456901,1710917759036
akka-uct,6830744802,96356130157,1710917759036
akka-uct,6439891558,103343837558,1710917759036
akka-uct,6850781485,109961549138,1710917759036
akka-uct,6590518279,116971393218,1710917759036
akka-uct,6509876273,123689205881,1710917759036
akka-uct,6474816590,130341157526,1710917759036
akka-uct,6777819455,136990849705,1710917759036
akka-uct,6610209422,143950210238,1710917759036
akka-uct,6713868901,150689551744,1710917759036
akka-uct,6642092928,157563154148,1710917759036
