benchmark,duration_ns,uptime_ns,vm_start_unix_ms
als,152868875699,3917494704,1710962865185
als,146121543642,156875154179,1710962865185
als,145841360777,303072974279,1710962865185
als,145090031870,448993317674,1710962865185
als,144896509024,594159921048,1710962865185
als,144775393535,739130753457,1710962865185
als,144565498017,883978955546,1710962865185
als,142091615109,1028632946975,1710962865185
als,141645761824,1170802924494,1710962865185
als,141826856264,1312526096191,1710962865185
als,141626135234,1454429404498,1710962865185
als,141272775805,1596142281443,1710962865185
als,142000839508,1737491637902,1710962865185
als,141143391855,1879563715191,1710962865185
als,141917599057,2020784323757,1710962865185
als,141388161758,2162777810896,1710962865185
als,141745545820,2304214253442,1710962865185
als,141106611731,2446034859557,1710962865185
als,141245283328,2587214906000,1710962865185
als,141187836371,2728532999499,1710962865185
als,141351264294,2869792180112,1710962865185
als,141035892297,3011188061793,1710962865185
als,142097009286,3152271550484,1710962865185
als,141777461509,3294417619385,1710962865185
als,141876869025,3436240804767,1710962865185
als,141502854950,3578160850902,1710962865185
als,141095457893,3719711154658,1710962865185
als,141247161061,3860851798785,1710962865185
als,141842250370,4002178260775,1710962865185
als,141924292101,4144096222706,1710962865185
