benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2321008789,3327646875,1710951291714
chi-square,644556343,5789134922,1710951291714
chi-square,628845517,6549855247,1710951291714
chi-square,582168826,7291364684,1710951291714
chi-square,564428236,7985183977,1710951291714
chi-square,572579128,8667799776,1710951291714
chi-square,558729003,9325982205,1710951291714
chi-square,554762574,9970037663,1710951291714
chi-square,550113369,10606132487,1710951291714
chi-square,555671741,11202695389,1710951291714
chi-square,544621053,11840986648,1710951291714
chi-square,551042076,12437382203,1710951291714
chi-square,534483852,13053724930,1710951291714
chi-square,536708894,13635225860,1710951291714
chi-square,577962108,14264170628,1710951291714
chi-square,487030801,14906066413,1710951291714
chi-square,472554942,15439992946,1710951291714
chi-square,462919794,15988056027,1710951291714
chi-square,465888249,16516081462,1710951291714
chi-square,495253365,17047519124,1710951291714
chi-square,482231756,17616344822,1710951291714
chi-square,463660417,18174998967,1710951291714
chi-square,447055309,18685122631,1710951291714
chi-square,567157244,19208848053,1710951291714
chi-square,473272216,19864718684,1710951291714
chi-square,509948751,20426249390,1710951291714
chi-square,460171807,21010425214,1710951291714
chi-square,445971070,21519450341,1710951291714
chi-square,450911288,22013437041,1710951291714
chi-square,426407326,22539157005,1710951291714
chi-square,416642479,23013665957,1710951291714
chi-square,438499412,23477741854,1710951291714
chi-square,441027508,23983495729,1710951291714
chi-square,851091059,24503437670,1710951291714
chi-square,734321256,25449177686,1710951291714
chi-square,479667850,26231824690,1710951291714
chi-square,496577844,26758505163,1710951291714
chi-square,502086087,27302757052,1710951291714
chi-square,492772240,27851479549,1710951291714
chi-square,477499598,28391963533,1710951291714
chi-square,484711000,28952275001,1710951291714
chi-square,484224561,29518102213,1710951291714
chi-square,494876550,30091520857,1710951291714
chi-square,476075578,30665754978,1710951291714
chi-square,487922042,31217758110,1710951291714
chi-square,483471101,31785746922,1710951291714
chi-square,475822644,32345605420,1710951291714
chi-square,484845413,32897658622,1710951291714
chi-square,473781778,33460577784,1710951291714
chi-square,474123430,34001422959,1710951291714
chi-square,510118592,34551203339,1710951291714
chi-square,484807115,35136497951,1710951291714
chi-square,477161830,35697918853,1710951291714
chi-square,476696000,36250530581,1710951291714
chi-square,478296411,36802798312,1710951291714
chi-square,486119146,37357480864,1710951291714
chi-square,490625678,37926934520,1710951291714
chi-square,473672596,38502779525,1710951291714
chi-square,479273124,39043232781,1710951291714
chi-square,472227182,39590953456,1710951291714
