benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2377958363,3361454531,1710951451400
chi-square,665008156,5884215816,1710951451400
chi-square,627824250,6637839695,1710951451400
chi-square,581161574,7338981571,1710951451400
chi-square,577994406,8002144278,1710951451400
chi-square,567946437,8672361154,1710951451400
chi-square,521669408,9315697154,1710951451400
chi-square,521986334,9907252348,1710951451400
chi-square,513629157,10497908482,1710951451400
chi-square,539831693,11059631746,1710951451400
chi-square,577803225,11670798259,1710951451400
chi-square,492101843,12305363043,1710951451400
chi-square,529616993,12871688373,1710951451400
chi-square,824636342,13450099456,1710951451400
chi-square,555628047,14348291369,1710951451400
chi-square,582419772,15072138815,1710951451400
chi-square,497359369,15703871174,1710951451400
chi-square,512100819,16273696498,1710951451400
chi-square,501730451,16858085949,1710951451400
chi-square,497669762,17431701418,1710951451400
chi-square,587062384,17978215549,1710951451400
chi-square,542800353,18645903323,1710951451400
chi-square,502809321,19238352503,1710951451400
chi-square,475217140,19790950666,1710951451400
chi-square,482470549,20315668749,1710951451400
chi-square,493242358,20847335952,1710951451400
chi-square,459815819,21390088588,1710951451400
chi-square,485601515,21898277801,1710951451400
chi-square,456786345,22433135512,1710951451400
chi-square,487533388,22938115921,1710951451400
chi-square,463800696,23475125895,1710951451400
chi-square,463042582,23986615055,1710951451400
chi-square,451022430,24523926660,1710951451400
chi-square,480209261,25024417503,1710951451400
chi-square,468709541,25553017116,1710951451400
chi-square,461940643,26071051506,1710951451400
chi-square,452538525,26582192505,1710951451400
chi-square,443675286,27084055783,1710951451400
chi-square,464795889,27576677240,1710951451400
chi-square,447295241,28090949324,1710951451400
chi-square,452522240,28628338216,1710951451400
chi-square,450369088,29161239816,1710951451400
chi-square,444192825,29699580248,1710951451400
chi-square,512732299,30217823151,1710951451400
chi-square,447012797,30804551573,1710951451400
chi-square,475349518,31325428908,1710951451400
chi-square,445470673,31882695101,1710951451400
chi-square,451815916,32401522775,1710951451400
chi-square,465351533,32931347572,1710951451400
chi-square,468225119,33470198097,1710951451400
chi-square,449870915,34011345504,1710951451400
chi-square,441341197,34516527711,1710951451400
chi-square,445486387,35028767010,1710951451400
chi-square,461958308,35549487542,1710951451400
chi-square,446341581,36086439841,1710951451400
chi-square,459932117,36606794189,1710951451400
chi-square,442877331,37151885668,1710951451400
chi-square,448305824,37667772897,1710951451400
chi-square,445909162,38190966336,1710951451400
chi-square,446673369,38711666251,1710951451400
