benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2371920215,3365654030,1710951573168
chi-square,677001181,5879378741,1710951573168
chi-square,655001055,6691903284,1710951573168
chi-square,627188265,7454305665,1710951573168
chi-square,625313360,8198959647,1710951573168
chi-square,625208388,8948400475,1710951573168
chi-square,606837974,9683395122,1710951573168
chi-square,613765197,10371629824,1710951573168
chi-square,623627803,11063619705,1710951573168
chi-square,654208973,11811651083,1710951573168
chi-square,912664336,12578745169,1710951573168
chi-square,501941936,13576138418,1710951573168
chi-square,501883910,14141689242,1710951573168
chi-square,525996538,14690192550,1710951573168
chi-square,449538747,15328740924,1710951573168
chi-square,617772223,15892175466,1710951573168
chi-square,426483390,16561546069,1710951573168
chi-square,426018028,17065216717,1710951573168
chi-square,437586597,17609345558,1710951573168
chi-square,548029111,18115831622,1710951573168
chi-square,462045571,18711511715,1710951573168
chi-square,449097816,19222444950,1710951573168
chi-square,461304847,19719005127,1710951573168
chi-square,466894470,20226600601,1710951573168
chi-square,452333805,20741460200,1710951573168
chi-square,429968427,21242041217,1710951573168
chi-square,424204030,21719631332,1710951573168
chi-square,422071839,22191187849,1710951573168
chi-square,407067402,22661215406,1710951573168
chi-square,397680264,23116092859,1710951573168
chi-square,402246629,23561963658,1710951573168
chi-square,402608904,24042583333,1710951573168
chi-square,399486123,24526212344,1710951573168
chi-square,399329804,25008086309,1710951573168
chi-square,413701861,25483829540,1710951573168
chi-square,427526796,25945718138,1710951573168
chi-square,407487176,26420817983,1710951573168
chi-square,404767824,26876101855,1710951573168
chi-square,401704617,27332448771,1710951573168
chi-square,413594474,27781818458,1710951573168
chi-square,400697333,28301087288,1710951573168
chi-square,480484196,28784443046,1710951573168
chi-square,404316544,29349447422,1710951573168
chi-square,404877170,29863376959,1710951573168
chi-square,402325408,30350086707,1710951573168
chi-square,408502341,30858093668,1710951573168
chi-square,419250472,31354131001,1710951573168
chi-square,401363248,31860033546,1710951573168
chi-square,418314639,32340809625,1710951573168
chi-square,406943021,32845000211,1710951573168
chi-square,409850489,33333156943,1710951573168
chi-square,397353271,33822670182,1710951573168
chi-square,417103555,34301508461,1710951573168
chi-square,414868751,34809612704,1710951573168
chi-square,414548548,35304199271,1710951573168
chi-square,406434579,35801718674,1710951573168
chi-square,413458281,36295434431,1710951573168
chi-square,416677567,36798286416,1710951573168
chi-square,400490833,37317794033,1710951573168
chi-square,400167992,37804244001,1710951573168
