benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2282538067,3298293067,1710951611486
chi-square,637212120,5722219094,1710951611486
chi-square,616994675,6466000081,1710951611486
chi-square,566049929,7189714898,1710951611486
chi-square,547269913,7867006616,1710951611486
chi-square,553166829,8530428872,1710951611486
chi-square,536946826,9170262648,1710951611486
chi-square,536957999,9778526289,1710951611486
chi-square,527138984,10377539730,1710951611486
chi-square,515665317,10951218202,1710951611486
chi-square,525920721,11530769460,1710951611486
chi-square,544509329,12120650763,1710951611486
chi-square,506226251,12731861284,1710951611486
chi-square,505036483,13285847385,1710951611486
chi-square,504283087,13871533028,1710951611486
chi-square,508038700,14440870621,1710951611486
chi-square,664325811,15003494003,1710951611486
chi-square,727890676,15771624169,1710951611486
chi-square,1045305927,16581396339,1710951611486
chi-square,919962480,17760005876,1710951611486
chi-square,519054478,18727262041,1710951611486
chi-square,502866607,19294417356,1710951611486
chi-square,577538561,19845372424,1710951611486
chi-square,546847512,20470952150,1710951611486
chi-square,565336407,21064633900,1710951611486
chi-square,500651627,21679141761,1710951611486
chi-square,503401078,22227373795,1710951611486
chi-square,493084095,22803096522,1710951611486
chi-square,492882301,23344533709,1710951611486
chi-square,464937519,23885189711,1710951611486
chi-square,487366927,24398540842,1710951611486
chi-square,504156877,24959765310,1710951611486
chi-square,489785687,25530404668,1710951611486
chi-square,483392774,26091366488,1710951611486
chi-square,477590836,26623550647,1710951611486
chi-square,455931641,27149407531,1710951611486
chi-square,477146832,27652789928,1710951611486
chi-square,475599413,28177752550,1710951611486
chi-square,480924313,28700218123,1710951611486
chi-square,467655909,29229656560,1710951611486
chi-square,465803630,29772600733,1710951611486
chi-square,482365227,30312318177,1710951611486
chi-square,478382971,30865488988,1710951611486
chi-square,462234663,31418394630,1710951611486
chi-square,512012354,31958444235,1710951611486
chi-square,465894080,32552362053,1710951611486
chi-square,462722368,33087077344,1710951611486
chi-square,463031143,33622606598,1710951611486
chi-square,460415779,34157495569,1710951611486
chi-square,460963354,34704939318,1710951611486
chi-square,492233226,35242259077,1710951611486
chi-square,466956184,35809197609,1710951611486
chi-square,458930119,36343942594,1710951611486
chi-square,461556710,36869772530,1710951611486
chi-square,470309791,37405382184,1710951611486
chi-square,480400209,37948466837,1710951611486
chi-square,470988021,38512131841,1710951611486
chi-square,483105600,39050800002,1710951611486
chi-square,456711520,39611202060,1710951611486
chi-square,454919925,40142391065,1710951611486
