benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2336063113,3320502112,1710951652196
chi-square,665115365,5788817832,1710951652196
chi-square,652780129,6592407797,1710951652196
chi-square,655829762,7360719078,1710951652196
chi-square,667481629,8131642612,1710951652196
chi-square,662384770,8927906379,1710951652196
chi-square,658431352,9676051099,1710951652196
chi-square,651219917,10422792064,1710951652196
chi-square,677545610,11153786480,1710951652196
chi-square,675429716,11916164519,1710951652196
chi-square,692658143,12701671113,1710951652196
chi-square,745473908,13472909684,1710951652196
chi-square,905339003,14283175592,1710951652196
chi-square,725821557,15235808100,1710951652196
chi-square,713783788,16040646190,1710951652196
chi-square,695534855,16833210818,1710951652196
chi-square,726786086,17575032809,1710951652196
chi-square,715433260,18381518854,1710951652196
chi-square,708261979,19182586154,1710951652196
chi-square,767154249,19966071506,1710951652196
chi-square,817336229,20815306342,1710951652196
chi-square,734766150,21706646678,1710951652196
chi-square,710158641,22518867123,1710951652196
chi-square,725847907,23277224845,1710951652196
chi-square,683562826,24050606892,1710951652196
chi-square,681559129,24782296038,1710951652196
chi-square,688532851,25509886236,1710951652196
chi-square,685639828,26277077000,1710951652196
chi-square,670016730,27010166730,1710951652196
chi-square,677782996,27729183135,1710951652196
chi-square,670122279,28455166935,1710951652196
chi-square,659908234,29212279336,1710951652196
chi-square,676616117,29951345847,1710951652196
chi-square,657231888,30680495216,1710951652196
chi-square,665311124,31386015454,1710951652196
chi-square,660904505,32099148230,1710951652196
chi-square,660035370,32808203792,1710951652196
chi-square,666545261,33515467274,1710951652196
chi-square,665355645,34228939068,1710951652196
chi-square,658077581,34942356041,1710951652196
chi-square,661609315,35690173330,1710951652196
chi-square,660710142,36471640986,1710951652196
chi-square,730152118,37220381897,1710951652196
chi-square,651131471,38035722780,1710951652196
chi-square,668538770,38803251506,1710951652196
chi-square,662915701,39554494261,1710951652196
chi-square,672443233,40300885214,1710951652196
chi-square,657071632,41056457138,1710951652196
chi-square,652258518,41805657687,1710951652196
chi-square,655239443,42539396369,1710951652196
chi-square,671719307,43276183816,1710951652196
chi-square,671365678,44036487126,1710951652196
chi-square,661099090,44790722015,1710951652196
chi-square,675680651,45539493524,1710951652196
chi-square,656628193,46298648225,1710951652196
chi-square,660758665,47039473401,1710951652196
chi-square,655680978,47782371896,1710951652196
chi-square,660694674,48520519647,1710951652196
chi-square,663684882,49261635928,1710951652196
chi-square,666613239,50013049636,1710951652196
