benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2471623095,3349775690,1710951702999
chi-square,675334421,5968219484,1710951702999
chi-square,663126386,6775305091,1710951702999
chi-square,686642489,7550675325,1710951702999
chi-square,653904746,8337838611,1710951702999
chi-square,641072954,9079641435,1710951702999
chi-square,632091486,9823890000,1710951702999
chi-square,629699178,10570675293,1710951702999
chi-square,610608905,11282958126,1710951702999
chi-square,511922825,11973079420,1710951702999
chi-square,549515339,12570814826,1710951702999
chi-square,473344597,13202789378,1710951702999
chi-square,474115824,13745016561,1710951702999
chi-square,557399387,14267815049,1710951702999
chi-square,461911839,14914110825,1710951702999
chi-square,460433964,15465203714,1710951702999
chi-square,437484839,15974471616,1710951702999
chi-square,437129837,16493726036,1710951702999
chi-square,451857176,17003053185,1710951702999
chi-square,433745487,17563019170,1710951702999
chi-square,432829901,18045765323,1710951702999
chi-square,434831430,18527113200,1710951702999
chi-square,462772509,19010970769,1710951702999
chi-square,483774156,19527594645,1710951702999
chi-square,434775703,20059407604,1710951702999
chi-square,437298125,20542656740,1710951702999
chi-square,444086912,21029903066,1710951702999
chi-square,425071001,21523428605,1710951702999
chi-square,401070286,21998353747,1710951702999
chi-square,417892601,22447632244,1710951702999
chi-square,411164873,22915602910,1710951702999
chi-square,409311842,23410251845,1710951702999
chi-square,435285792,23927260191,1710951702999
chi-square,423006593,24426808905,1710951702999
chi-square,832164046,24898067326,1710951702999
chi-square,736289996,25826170457,1710951702999
chi-square,395455005,26612218326,1710951702999
chi-square,407692775,27056901839,1710951702999
chi-square,380382934,27524396266,1710951702999
chi-square,403885200,27953824184,1710951702999
chi-square,373802573,28462746181,1710951702999
chi-square,401845081,28941793500,1710951702999
chi-square,379452592,29474213702,1710951702999
chi-square,374605325,29988559366,1710951702999
chi-square,374721068,30469659000,1710951702999
chi-square,433948679,30981767156,1710951702999
chi-square,377919525,31546439524,1710951702999
chi-square,370948386,32057363208,1710951702999
chi-square,371738165,32563215455,1710951702999
chi-square,373582064,33042586865,1710951702999
chi-square,386012962,33539585774,1710951702999
chi-square,370058215,34025586288,1710951702999
chi-square,370116028,34526618671,1710951702999
chi-square,384571195,35017427648,1710951702999
chi-square,371906637,35527219055,1710951702999
chi-square,379884507,36004166755,1710951702999
chi-square,373562330,36477570502,1710951702999
chi-square,391501366,36944250217,1710951702999
chi-square,372137562,37466649545,1710951702999
chi-square,370918978,37941686246,1710951702999
