benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2356942007,3323630912,1710952051203
chi-square,649215187,5823430092,1710952051203
chi-square,642010567,6605843535,1710952051203
chi-square,587110861,7370313034,1710952051203
chi-square,581260985,8067605849,1710952051203
chi-square,565169080,8771460832,1710952051203
chi-square,601725517,9421498233,1710952051203
chi-square,579505084,10110172088,1710952051203
chi-square,585971623,10775130738,1710952051203
chi-square,589708969,11411488260,1710952051203
chi-square,886435699,12111361471,1710952051203
chi-square,507193499,13082334987,1710952051203
chi-square,546806881,13654153628,1710952051203
chi-square,562395186,14248132387,1710952051203
chi-square,590150639,14970055701,1710952051203
chi-square,488296106,15639921002,1710952051203
chi-square,478117593,16176702895,1710952051203
chi-square,478933386,16726287602,1710952051203
chi-square,480310428,17275357560,1710952051203
chi-square,512840428,17845852317,1710952051203
chi-square,582866766,18410278857,1710952051203
chi-square,549888708,19074138421,1710952051203
chi-square,530683738,19673270246,1710952051203
chi-square,472501186,20252733889,1710952051203
chi-square,480140791,20773762074,1710952051203
chi-square,479054447,21301400869,1710952051203
chi-square,444202994,21828826680,1710952051203
chi-square,476958658,22334960757,1710952051203
chi-square,439860873,22859283550,1710952051203
chi-square,438668174,23347412245,1710952051203
chi-square,437576094,23832626792,1710952051203
chi-square,439777818,24349951744,1710952051203
chi-square,444358106,24877735296,1710952051203
chi-square,456524825,25369262634,1710952051203
chi-square,442272284,25901926100,1710952051203
chi-square,437059484,26418759639,1710952051203
chi-square,439979184,26902566865,1710952051203
chi-square,441176778,27389811285,1710952051203
chi-square,460479480,27884500194,1710952051203
chi-square,453171325,28392919115,1710952051203
chi-square,436671580,28953744513,1710952051203
chi-square,456282421,29472848916,1710952051203
chi-square,439353878,30013108030,1710952051203
chi-square,499531973,30562311394,1710952051203
chi-square,437983904,31147752529,1710952051203
chi-square,465658517,31669316212,1710952051203
chi-square,437925178,32221469698,1710952051203
chi-square,439675208,32742758173,1710952051203
chi-square,438708380,33267075395,1710952051203
chi-square,435506848,33788439979,1710952051203
chi-square,436275637,34306127109,1710952051203
chi-square,434552142,34810868430,1710952051203
chi-square,436888019,35329821992,1710952051203
chi-square,438469281,35848928049,1710952051203
chi-square,437917374,36379202790,1710952051203
chi-square,434775283,36885947523,1710952051203
chi-square,434537213,37405922112,1710952051203
chi-square,430734497,37918967302,1710952051203
chi-square,436633961,38435668153,1710952051203
chi-square,446051773,38954656966,1710952051203
