benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2487235598,3407054058,1710952011486
chi-square,738415282,6036928173,1710952011486
chi-square,705344833,6856107782,1710952011486
chi-square,643460370,7642637099,1710952011486
chi-square,625090236,8363400069,1710952011486
chi-square,612172280,9077164667,1710952011486
chi-square,600993279,9761160432,1710952011486
chi-square,601540689,10432173786,1710952011486
chi-square,616167294,11100941390,1710952011486
chi-square,616694752,11764028813,1710952011486
chi-square,515945139,12458629489,1710952011486
chi-square,502552457,13022788077,1710952011486
chi-square,494141780,13610891681,1710952011486
chi-square,466347332,14152884974,1710952011486
chi-square,454975840,14696808348,1710952011486
chi-square,477576774,15226145401,1710952011486
chi-square,998868755,15815704365,1710952011486
chi-square,532359120,16862521416,1710952011486
chi-square,476534150,17466318504,1710952011486
chi-square,515733848,18013331979,1710952011486
chi-square,488147778,18576992743,1710952011486
chi-square,473082556,19137312420,1710952011486
chi-square,547786689,19664453057,1710952011486
chi-square,495647715,20261169003,1710952011486
chi-square,571251290,20854602144,1710952011486
chi-square,488706942,21474624014,1710952011486
chi-square,468551616,22012990986,1710952011486
chi-square,457063766,22529343816,1710952011486
chi-square,478637777,23034502060,1710952011486
chi-square,455049930,23561720382,1710952011486
chi-square,448265971,24065508814,1710952011486
chi-square,449054312,24586104067,1710952011486
chi-square,448431992,25107013286,1710952011486
chi-square,448258914,25604565291,1710952011486
chi-square,467213912,26102762780,1710952011486
chi-square,464727019,26617950233,1710952011486
chi-square,446360958,27131323980,1710952011486
chi-square,446391881,27625420361,1710952011486
chi-square,465175874,28120401841,1710952011486
chi-square,457068023,28634395669,1710952011486
chi-square,446474746,29168790382,1710952011486
chi-square,446658067,29688116398,1710952011486
chi-square,459933115,30214756622,1710952011486
chi-square,445237488,30747028525,1710952011486
chi-square,504626744,31265637000,1710952011486
chi-square,450004288,31841869253,1710952011486
chi-square,443938214,32364959304,1710952011486
chi-square,451892301,32881813858,1710952011486
chi-square,450470319,33405940648,1710952011486
chi-square,455908631,33930094366,1710952011486
chi-square,470438127,34440546384,1710952011486
chi-square,446754635,34984771557,1710952011486
chi-square,447900994,35503650000,1710952011486
chi-square,446057985,36023020945,1710952011486
chi-square,460194923,36543025975,1710952011486
chi-square,440906131,37077125193,1710952011486
chi-square,446575268,37591013262,1710952011486
chi-square,460820704,38111063888,1710952011486
chi-square,444560973,38643752187,1710952011486
chi-square,442621156,39162855697,1710952011486
