benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2436642006,3412742316,1710952090715
chi-square,661502023,5998692183,1710952090715
chi-square,672996047,6781102022,1710952090715
chi-square,615160355,7542697529,1710952090715
chi-square,591664930,8245708687,1710952090715
chi-square,574115405,8915993679,1710952090715
chi-square,567237886,9596964554,1710952090715
chi-square,542503364,10243787845,1710952090715
chi-square,570113125,10867059122,1710952090715
chi-square,497045921,11517008788,1710952090715
chi-square,468006628,12095488418,1710952090715
chi-square,483271718,12644399611,1710952090715
chi-square,884571046,13197204248,1710952090715
chi-square,625478120,14160365267,1710952090715
chi-square,496440754,14863958873,1710952090715
chi-square,488652341,15440050258,1710952090715
chi-square,486766298,15977452828,1710952090715
chi-square,471680940,16545066029,1710952090715
chi-square,483471236,17087345771,1710952090715
chi-square,585478580,17641986273,1710952090715
chi-square,529782267,18277461957,1710952090715
chi-square,482655854,18857825737,1710952090715
chi-square,480626487,19439354251,1710952090715
chi-square,458221099,19969216698,1710952090715
chi-square,449898698,20477393051,1710952090715
chi-square,461856777,20977102592,1710952090715
chi-square,447320554,21488674101,1710952090715
chi-square,437302238,21986615309,1710952090715
chi-square,429403984,22473158427,1710952090715
chi-square,433134228,22951463197,1710952090715
chi-square,431660980,23433662927,1710952090715
chi-square,430339833,23914357129,1710952090715
chi-square,428153651,24426402520,1710952090715
chi-square,443350760,24903114037,1710952090715
chi-square,423765160,25396306135,1710952090715
chi-square,423292651,25869563451,1710952090715
chi-square,428986662,26342461960,1710952090715
chi-square,430874980,26819669737,1710952090715
chi-square,441492666,27299060042,1710952090715
chi-square,440958266,27789607958,1710952090715
chi-square,442820971,28310259298,1710952090715
chi-square,450028759,28840618380,1710952090715
chi-square,432416452,29389440429,1710952090715
chi-square,431582149,29908819534,1710952090715
chi-square,429081248,30429465778,1710952090715
chi-square,432403933,30951708621,1710952090715
chi-square,428887003,31469976478,1710952090715
chi-square,426161280,31984684254,1710952090715
chi-square,424904135,32498649612,1710952090715
chi-square,428382473,33005237103,1710952090715
chi-square,441420839,33513823499,1710952090715
chi-square,435058757,34033782898,1710952090715
chi-square,426272414,34542001503,1710952090715
chi-square,425593360,35047400756,1710952090715
chi-square,425935032,35554761416,1710952090715
chi-square,442573367,36062809440,1710952090715
chi-square,422397617,36588837642,1710952090715
chi-square,421824061,37100160745,1710952090715
chi-square,424103574,37594421234,1710952090715
chi-square,423067725,38105841062,1710952090715
