benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2481068635,3351994834,1710952285620
chi-square,664275526,5978908210,1710952285620
chi-square,590625836,6782168319,1710952285620
chi-square,583939669,7504130467,1710952285620
chi-square,561669093,8171499090,1710952285620
chi-square,550790615,8802332008,1710952285620
chi-square,560142183,9480733001,1710952285620
chi-square,561593983,10133234785,1710952285620
chi-square,579433255,10785333403,1710952285620
chi-square,965393278,11412930884,1710952285620
chi-square,373432277,12466673787,1710952285620
chi-square,365955764,12922680592,1710952285620
chi-square,360702361,13359607549,1710952285620
chi-square,519734646,13771985260,1710952285620
chi-square,359504382,14380718537,1710952285620
chi-square,355050724,14826338368,1710952285620
chi-square,346987625,15232675889,1710952285620
chi-square,342376192,15630290643,1710952285620
chi-square,342025176,16041630080,1710952285620
chi-square,364579081,16452944185,1710952285620
chi-square,359777413,16867136154,1710952285620
chi-square,422374760,17275511499,1710952285620
chi-square,444588958,17747393796,1710952285620
chi-square,379714338,18241420916,1710952285620
chi-square,382135105,18677124264,1710952285620
chi-square,373659282,19108245246,1710952285620
chi-square,367378003,19531088975,1710952285620
chi-square,354670618,19948084626,1710952285620
chi-square,358089312,20352185042,1710952285620
chi-square,347896439,20760004394,1710952285620
chi-square,380228841,21156172545,1710952285620
chi-square,342857375,21617825099,1710952285620
chi-square,351876859,22050511794,1710952285620
chi-square,345577122,22456523113,1710952285620
chi-square,347712130,22850310288,1710952285620
chi-square,332803355,23247082302,1710952285620
chi-square,331437479,23629554668,1710952285620
chi-square,347450409,24009207030,1710952285620
chi-square,344254337,24405565692,1710952285620
chi-square,346788813,24798653925,1710952285620
chi-square,329104941,25237090697,1710952285620
chi-square,325656085,25658065745,1710952285620
chi-square,332434106,26072476909,1710952285620
chi-square,339338551,26486285774,1710952285620
chi-square,337947277,26917864275,1710952285620
chi-square,357484536,27327525641,1710952285620
chi-square,336732948,27772828540,1710952285620
chi-square,332452670,28200459260,1710952285620
chi-square,326338289,28606321315,1710952285620
chi-square,329715708,29019229627,1710952285620
chi-square,335917743,29446469021,1710952285620
chi-square,340415583,29873134643,1710952285620
chi-square,330112999,30303218037,1710952285620
chi-square,327647069,30706805744,1710952285620
chi-square,340581708,31116759540,1710952285620
chi-square,325660449,31545464843,1710952285620
chi-square,348061270,31951579722,1710952285620
chi-square,327288336,32384145879,1710952285620
chi-square,329216678,32788093294,1710952285620
chi-square,326881400,33180342597,1710952285620
