benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2322163075,3363502189,1710952204679
chi-square,666532768,5826243360,1710952204679
chi-square,639700416,6625454712,1710952204679
chi-square,615962622,7383725754,1710952204679
chi-square,631535400,8112673340,1710952204679
chi-square,631308208,8886413977,1710952204679
chi-square,635925911,9634627615,1710952204679
chi-square,636957452,10350396209,1710952204679
chi-square,598655780,11060639894,1710952204679
chi-square,603065482,11706794564,1710952204679
chi-square,585801081,12400848914,1710952204679
chi-square,986855671,13070144584,1710952204679
chi-square,604109783,14208232257,1710952204679
chi-square,478448368,14859337795,1710952204679
chi-square,531652615,15430300165,1710952204679
chi-square,482139647,16040886117,1710952204679
chi-square,480722066,16569779722,1710952204679
chi-square,474161255,17147121754,1710952204679
chi-square,470461617,17689155956,1710952204679
chi-square,533713623,18227048702,1710952204679
chi-square,558950037,18809055367,1710952204679
chi-square,513778039,19415389386,1710952204679
chi-square,500209482,19976978308,1710952204679
chi-square,499518694,20556753362,1710952204679
chi-square,469911250,21104408511,1710952204679
chi-square,510017186,21621833806,1710952204679
chi-square,466096924,22179507778,1710952204679
chi-square,476008430,22693670186,1710952204679
chi-square,457275355,23216968412,1710952204679
chi-square,456892979,23722061417,1710952204679
chi-square,445890274,24226568041,1710952204679
chi-square,443646396,24751171143,1710952204679
chi-square,439462549,25280837744,1710952204679
chi-square,462426680,25786790043,1710952204679
chi-square,443690174,26323198743,1710952204679
chi-square,445791968,26814021525,1710952204679
chi-square,441606424,27313211611,1710952204679
chi-square,442897138,27821653962,1710952204679
chi-square,445487611,28312420765,1710952204679
chi-square,452387102,28804382157,1710952204679
chi-square,451642785,29367199573,1710952204679
chi-square,454955574,29906407626,1710952204679
chi-square,461774176,30447144209,1710952204679
chi-square,453964077,30994173771,1710952204679
chi-square,455486513,31535369330,1710952204679
chi-square,442572483,32071804246,1710952204679
chi-square,434391300,32604670010,1710952204679
chi-square,438601128,33123992359,1710952204679
chi-square,441831141,33669398236,1710952204679
chi-square,451950449,34205683166,1710952204679
chi-square,460929465,34742183039,1710952204679
chi-square,460527088,35284796080,1710952204679
chi-square,440013286,35832603499,1710952204679
chi-square,453870968,36372992680,1710952204679
chi-square,441417035,36906762106,1710952204679
chi-square,446184125,37422622943,1710952204679
chi-square,442199383,37950770271,1710952204679
chi-square,438082631,38474898753,1710952204679
chi-square,450119446,39013509496,1710952204679
chi-square,446196865,39562839658,1710952204679
