benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2335859330,3421808977,1710952358506
chi-square,668793944,5901726734,1710952358506
chi-square,636523293,6648847936,1710952358506
chi-square,588157604,7364177384,1710952358506
chi-square,576854027,8046868749,1710952358506
chi-square,567761258,8712839102,1710952358506
chi-square,538356602,9349022221,1710952358506
chi-square,571416333,9975559308,1710952358506
chi-square,569888332,10613368792,1710952358506
chi-square,582068274,11232551391,1710952358506
chi-square,547323577,11885459140,1710952358506
chi-square,1038406467,12481175826,1710952358506
chi-square,513563926,13616493856,1710952358506
chi-square,514070909,14177422168,1710952358506
chi-square,497901207,14765563829,1710952358506
chi-square,504942290,15330777736,1710952358506
chi-square,490630528,15909510086,1710952358506
chi-square,490278072,16447061207,1710952358506
chi-square,593404754,17007077043,1710952358506
chi-square,514050975,17669738959,1710952358506
chi-square,491950159,18232682870,1710952358506
chi-square,554782616,18773850873,1710952358506
chi-square,491525575,19377837260,1710952358506
chi-square,480292237,19917305975,1710952358506
chi-square,491772474,20447205779,1710952358506
chi-square,492531998,20988431622,1710952358506
chi-square,465661730,21530217893,1710952358506
chi-square,476371636,22044033436,1710952358506
chi-square,445311713,22569016516,1710952358506
chi-square,457451116,23062622954,1710952358506
chi-square,446278214,23568614326,1710952358506
chi-square,454272832,24084929975,1710952358506
chi-square,462624729,24609235545,1710952358506
chi-square,462218227,25122010001,1710952358506
chi-square,444264246,25639365990,1710952358506
chi-square,442172332,26131754809,1710952358506
chi-square,461782540,26622902130,1710952358506
chi-square,441828918,27132891938,1710952358506
chi-square,452634333,27623912189,1710952358506
chi-square,441507984,28125454069,1710952358506
chi-square,439497234,28640432079,1710952358506
chi-square,472777263,29151162110,1710952358506
chi-square,439507832,29702871864,1710952358506
chi-square,493639362,30213734314,1710952358506
chi-square,438364223,30783738836,1710952358506
chi-square,476989934,31292915116,1710952358506
chi-square,441382058,31841457575,1710952358506
chi-square,441702046,32359119948,1710952358506
chi-square,438464777,32865892927,1710952358506
chi-square,457714831,33375873592,1710952358506
chi-square,452297805,33903573106,1710952358506
chi-square,440243669,34428308136,1710952358506
chi-square,438410440,34939996808,1710952358506
chi-square,443161195,35433494251,1710952358506
chi-square,434995690,35950981459,1710952358506
chi-square,440290626,36457605693,1710952358506
chi-square,458310481,36969753313,1710952358506
chi-square,436279264,37501494684,1710952358506
chi-square,437937363,38011131745,1710952358506
chi-square,443224842,38518997260,1710952358506
