benchmark,duration_ns,uptime_ns,vm_start_unix_ms
chi-square,2311185408,3290611985,1710952489447
chi-square,624801340,5747535343,1710952489447
chi-square,615614187,6486220210,1710952489447
chi-square,585107994,7192833479,1710952489447
chi-square,527522697,7885993574,1710952489447
chi-square,515729055,8498507229,1710952489447
chi-square,539571668,9186845939,1710952489447
chi-square,545078003,9807696959,1710952489447
chi-square,536770254,10437755821,1710952489447
chi-square,531870959,11021704437,1710952489447
chi-square,526937128,11638353212,1710952489447
chi-square,536191350,12252884205,1710952489447
chi-square,524292879,12862871352,1710952489447
chi-square,486226289,13435174588,1710952489447
chi-square,461664867,14004288106,1710952489447
chi-square,475565214,14554656505,1710952489447
chi-square,457755671,15124867196,1710952489447
chi-square,547203709,15736708871,1710952489447
chi-square,442593057,16355699631,1710952489447
chi-square,463887893,16869275865,1710952489447
chi-square,438971781,17381910727,1710952489447
chi-square,435881630,17868593638,1710952489447
chi-square,456798081,18352429346,1710952489447
chi-square,434661557,18857253063,1710952489447
chi-square,411820148,19384583400,1710952489447
chi-square,503624443,19849192565,1710952489447
chi-square,465515852,20401346833,1710952489447
chi-square,436661584,20915549607,1710952489447
chi-square,391898437,21401469770,1710952489447
chi-square,441796989,21841785402,1710952489447
chi-square,388949245,22333496516,1710952489447
chi-square,430349848,22807040384,1710952489447
chi-square,403264572,23327362794,1710952489447
chi-square,421558249,23779924601,1710952489447
chi-square,404018731,24250176424,1710952489447
chi-square,409165306,24702490469,1710952489447
chi-square,386864767,25160995561,1710952489447
chi-square,384295123,25597080913,1710952489447
chi-square,384011491,26029977771,1710952489447
chi-square,384879410,26462919538,1710952489447
chi-square,385599754,26952296103,1710952489447
chi-square,447787820,27429835049,1710952489447
chi-square,382169810,27965278011,1710952489447
chi-square,382540502,28431831486,1710952489447
chi-square,384176920,28908460163,1710952489447
chi-square,382160874,29373450179,1710952489447
chi-square,380842034,29854739973,1710952489447
chi-square,411897006,30328196189,1710952489447
chi-square,382721427,30824479443,1710952489447
chi-square,380243197,31295216610,1710952489447
chi-square,381005424,31766247828,1710952489447
chi-square,381558678,32230474776,1710952489447
chi-square,382491639,32692447932,1710952489447
chi-square,381984475,33146658620,1710952489447
chi-square,380932635,33619726439,1710952489447
chi-square,399380485,34090619767,1710952489447
chi-square,382318178,34588786337,1710952489447
chi-square,378673743,35048353400,1710952489447
chi-square,415284361,35509375505,1710952489447
chi-square,384264054,36212872233,1710952489447
