benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,4810160387,7796654527,1710954671921
db-shootout,4596809658,12651423175,1710954671921
db-shootout,4291084212,17284477948,1710954671921
db-shootout,3916991411,21595373551,1710954671921
db-shootout,4079900322,25529249534,1710954671921
db-shootout,3904451473,29627480379,1710954671921
db-shootout,3654794243,33549566033,1710954671921
db-shootout,4028312713,37222941180,1710954671921
db-shootout,4042790478,41268056993,1710954671921
db-shootout,3613783923,45328742870,1710954671921
db-shootout,3787831999,48964608296,1710954671921
db-shootout,4053020653,52767526908,1710954671921
db-shootout,3950133105,56840066810,1710954671921
db-shootout,3963513203,60806232194,1710954671921
db-shootout,3699952569,64790062297,1710954671921
db-shootout,3602848821,68513179588,1710954671921
