benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,4450513046,7168864990,1710954744610
db-shootout,4256024908,11665341336,1710954744610
db-shootout,4100347567,15980454277,1710954744610
db-shootout,3680556266,20113471136,1710954744610
db-shootout,3696054848,23825082033,1710954744610
db-shootout,3979910733,27554650727,1710954744610
db-shootout,3388137022,31551481242,1710954744610
db-shootout,3520236075,34956268790,1710954744610
db-shootout,3602877870,38494479854,1710954744610
db-shootout,3387366853,42114110432,1710954744610
db-shootout,3510784441,45516208472,1710954744610
db-shootout,3648264175,49043151287,1710954744610
db-shootout,3253236721,52707785232,1710954744610
db-shootout,3451385470,55976579974,1710954744610
db-shootout,3431718473,59443551487,1710954744610
db-shootout,3551020486,62900895343,1710954744610
