benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,4378552773,7303551185,1710954811775
db-shootout,4391438770,11733297350,1710954811775
db-shootout,4082827639,16169492945,1710954811775
db-shootout,3693187806,20291678107,1710954811775
db-shootout,3518510576,24019549495,1710954811775
db-shootout,3794296594,27569944051,1710954811775
db-shootout,3366190226,31398108000,1710954811775
db-shootout,3678353583,34780676613,1710954811775
db-shootout,3630437559,38476331599,1710954811775
db-shootout,3633071403,42126902794,1710954811775
db-shootout,3765178266,45788234728,1710954811775
db-shootout,3793843399,49568937571,1710954811775
db-shootout,3631869234,53380830723,1710954811775
db-shootout,3626602896,57041600839,1710954811775
db-shootout,3652775909,60695995472,1710954811775
db-shootout,3534745763,64378180875,1710954811775
