benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,5181731845,7438524875,1710955016340
db-shootout,4500168041,12670097134,1710955016340
db-shootout,4094877980,17211602120,1710955016340
db-shootout,3683094279,21350697762,1710955016340
db-shootout,3788423109,25069475895,1710955016340
db-shootout,3737540799,28889915042,1710955016340
db-shootout,3463945633,32659373307,1710955016340
db-shootout,3724758473,36139111370,1710955016340
db-shootout,3692554617,39917121016,1710955016340
db-shootout,3561169596,43626815834,1710955016340
db-shootout,3675262621,47219447093,1710955016340
db-shootout,3809529278,50912681128,1710955016340
db-shootout,3834236400,54738416613,1710955016340
db-shootout,3504524526,58597318693,1710955016340
db-shootout,3687873663,62133504091,1710955016340
db-shootout,3692022951,65864182034,1710955016340
