benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,4446496451,7230460187,1710955086583
db-shootout,4675367239,11725034876,1710955086583
db-shootout,4471908986,16437035544,1710955086583
db-shootout,3615444902,20941167052,1710955086583
db-shootout,3570867964,24577981527,1710955086583
db-shootout,4101763442,28170331890,1710955086583
db-shootout,3401117833,32316397594,1710955086583
db-shootout,3662229473,35733375757,1710955086583
db-shootout,3489042665,39414897906,1710955086583
db-shootout,3336915055,42921138094,1710955086583
db-shootout,3403689606,46275813612,1710955086583
db-shootout,3434636078,49697334888,1710955086583
db-shootout,3528056929,53147327909,1710955086583
db-shootout,3450103720,56697926781,1710955086583
db-shootout,3416129645,60163796722,1710955086583
db-shootout,3437958651,63597761457,1710955086583
