benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,4840401476,8247258349,1710955431199
db-shootout,4621687754,13139594877,1710955431199
db-shootout,4564572280,17797428666,1710955431199
db-shootout,4512146610,22402458984,1710955431199
db-shootout,3713434630,26948581840,1710955431199
db-shootout,3935137390,30693247241,1710955431199
db-shootout,4031207373,34660288720,1710955431199
db-shootout,3701405804,38726506518,1710955431199
db-shootout,3752284396,42458002577,1710955431199
db-shootout,4135134193,46243755380,1710955431199
db-shootout,3971090910,50409711279,1710955431199
db-shootout,4055800591,54465840084,1710955431199
db-shootout,4049708615,58556206957,1710955431199
db-shootout,3939960652,62636639833,1710955431199
db-shootout,4073152862,66607161716,1710955431199
db-shootout,3781517521,70712430006,1710955431199
