benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,6762462119,9530820429,1710955578048
db-shootout,8667336176,16339880081,1710955578048
db-shootout,11123281230,25049658647,1710955578048
db-shootout,10895010992,36214386953,1710955578048
db-shootout,10986866978,47146708445,1710955578048
db-shootout,11388781615,58161347353,1710955578048
db-shootout,10533693288,69587250407,1710955578048
db-shootout,11247025822,80163504330,1710955578048
db-shootout,11139309330,91448185344,1710955578048
db-shootout,10772110854,102606317552,1710955578048
db-shootout,11150886983,113400519753,1710955578048
db-shootout,11303072252,124568604829,1710955578048
db-shootout,11271420138,135892391362,1710955578048
db-shootout,11101812252,147183002237,1710955578048
db-shootout,10918264890,158302665338,1710955578048
db-shootout,11229500959,169237308657,1710955578048
