benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,4856015650,8102561290,1710956050962
db-shootout,4409747264,13012376823,1710956050962
db-shootout,4322963616,17488435503,1710956050962
db-shootout,4052477158,21850709408,1710956050962
db-shootout,3851682601,25930290946,1710956050962
db-shootout,3962047521,29823491979,1710956050962
db-shootout,4074042275,33808248303,1710956050962
db-shootout,3549965251,37922506836,1710956050962
db-shootout,3807753569,41502603879,1710956050962
db-shootout,3876982321,45331818840,1710956050962
db-shootout,3628657888,49236736171,1710956050962
db-shootout,3823615415,52885968868,1710956050962
db-shootout,3985865088,56726372334,1710956050962
db-shootout,3703096492,60735323872,1710956050962
db-shootout,3765361409,64458212217,1710956050962
db-shootout,3769490727,68246480526,1710956050962
