benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,4578906532,7723454445,1710954533740
db-shootout,4621264677,12349435812,1710954533740
db-shootout,4280574386,17012047286,1710954533740
db-shootout,3674239894,21330243667,1710954533740
db-shootout,3744560944,25025779758,1710954533740
db-shootout,3900444511,28804858984,1710954533740
db-shootout,3817436425,32722910574,1710954533740
db-shootout,3637522096,36555548999,1710954533740
db-shootout,3638629979,40209971573,1710954533740
db-shootout,3580659809,43923365934,1710954533740
db-shootout,3450932774,47522101815,1710954533740
db-shootout,3692791334,50989748728,1710954533740
db-shootout,3459328257,54698671909,1710954533740
db-shootout,3442694101,58179316383,1710954533740
db-shootout,3462127568,61642565910,1710954533740
db-shootout,3647990728,65123735371,1710954533740
