benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,4583879219,7295918494,1710956342714
db-shootout,4468979986,11930545254,1710956342714
db-shootout,4523869666,16439114224,1710956342714
db-shootout,3768090563,20990296185,1710956342714
db-shootout,3725648927,24776943794,1710956342714
db-shootout,4075383873,28603362344,1710956342714
db-shootout,3709794621,32695029070,1710956342714
db-shootout,4009395799,36427492447,1710956342714
db-shootout,3792132837,40467969750,1710956342714
db-shootout,3671554692,44281705555,1710956342714
db-shootout,3781540600,47971917699,1710956342714
db-shootout,3843499360,51768609850,1710956342714
db-shootout,3566989367,55630421176,1710956342714
db-shootout,3713206374,59218146594,1710956342714
db-shootout,3767211437,62948919056,1710956342714
db-shootout,3615442104,66741669655,1710956342714
