benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,4591611879,7404939048,1710956859313
db-shootout,4582001469,12041191210,1710956859313
db-shootout,4327874918,16681001783,1710956859313
db-shootout,3750774359,21028095579,1710956859313
db-shootout,3896984923,24796836378,1710956859313
db-shootout,4140345033,28710582168,1710956859313
db-shootout,3841522024,32869854796,1710956859313
db-shootout,3683014410,36730567844,1710956859313
db-shootout,3918389103,40431757836,1710956859313
db-shootout,3695930798,44367430550,1710956859313
db-shootout,3754231990,48079352147,1710956859313
db-shootout,3964468566,51850371518,1710956859313
db-shootout,3601003019,55831002600,1710956859313
db-shootout,3642604052,59448835308,1710956859313
db-shootout,3882366801,63106935349,1710956859313
db-shootout,3754323249,67013232615,1710956859313
