benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,5443001703,8712541767,1710956774696
db-shootout,5381027540,14208191571,1710956774696
db-shootout,4718853666,19638449783,1710956774696
db-shootout,4603458354,24396646626,1710956774696
db-shootout,4722598352,29041355368,1710956774696
db-shootout,4648129418,33797078024,1710956774696
db-shootout,4473566582,38483090795,1710956774696
db-shootout,4702275973,42988189618,1710956774696
db-shootout,4673855657,47707897097,1710956774696
db-shootout,4430695689,52397594956,1710956774696
db-shootout,4673719333,56847176062,1710956774696
db-shootout,4409990411,61537216366,1710956774696
db-shootout,4330841638,65966420543,1710956774696
db-shootout,4143235507,70316197954,1710956774696
db-shootout,4812845399,74490278807,1710956774696
db-shootout,4542351504,79334103144,1710956774696
