benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3782302918,2891850753,1710960206818
dec-tree,911681132,6799568042,1710960206818
dec-tree,808804838,7805441451,1710960206818
dec-tree,784633661,8737210173,1710960206818
dec-tree,741057885,9623888414,1710960206818
dec-tree,759490278,10456945989,1710960206818
dec-tree,731922089,11306634199,1710960206818
dec-tree,778842428,12160501711,1710960206818
dec-tree,725504503,13036739078,1710960206818
dec-tree,681269358,13847402130,1710960206818
dec-tree,677311968,14622688089,1710960206818
dec-tree,664498783,15383379236,1710960206818
dec-tree,651460108,16134473122,1710960206818
dec-tree,622709774,16870088988,1710960206818
dec-tree,664778954,17587255839,1710960206818
dec-tree,666672976,18345331355,1710960206818
dec-tree,626388772,19110135384,1710960206818
dec-tree,672031152,19813781273,1710960206818
dec-tree,573037702,20581641946,1710960206818
dec-tree,622169605,21237304877,1710960206818
dec-tree,625778182,21937516625,1710960206818
dec-tree,596183243,22642460621,1710960206818
dec-tree,561792666,23344482607,1710960206818
dec-tree,596479318,23982922330,1710960206818
dec-tree,656691215,24663516153,1710960206818
dec-tree,584389914,25391130414,1710960206818
dec-tree,565655765,26050476238,1710960206818
dec-tree,572273507,26693676194,1710960206818
dec-tree,589682686,27339549065,1710960206818
dec-tree,550314653,28005102237,1710960206818
dec-tree,608279398,28627479660,1710960206818
dec-tree,602930525,29312542850,1710960206818
dec-tree,745806713,29994191783,1710960206818
dec-tree,589933484,30826152070,1710960206818
dec-tree,715438251,31491204736,1710960206818
dec-tree,641778646,32281641986,1710960206818
dec-tree,598078754,33004015687,1710960206818
dec-tree,601988571,33679219484,1710960206818
dec-tree,580746517,34365858510,1710960206818
dec-tree,567089956,35031313760,1710960206818
