benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3744968194,2896946374,1710960242525
dec-tree,1066148177,6763338756,1710960242525
dec-tree,896314359,7951154273,1710960242525
dec-tree,952394424,8933373793,1710960242525
dec-tree,861466735,9982167349,1710960242525
dec-tree,840911012,10943591303,1710960242525
dec-tree,822973078,11889840663,1710960242525
dec-tree,708393351,12816453862,1710960242525
dec-tree,738880073,13627554986,1710960242525
dec-tree,752226513,14449746190,1710960242525
dec-tree,761305571,15291240311,1710960242525
dec-tree,718942817,16127235947,1710960242525
dec-tree,691459234,16934648632,1710960242525
dec-tree,663018880,17704595145,1710960242525
dec-tree,738325882,18459726001,1710960242525
dec-tree,692994746,19275095308,1710960242525
dec-tree,689631604,20036937357,1710960242525
dec-tree,686904969,20801467011,1710960242525
dec-tree,674177784,21560155291,1710960242525
dec-tree,671738383,22308786514,1710960242525
dec-tree,652210375,23058778970,1710960242525
dec-tree,622947558,23784324229,1710960242525
dec-tree,625145711,24488453895,1710960242525
dec-tree,715026572,25178620960,1710960242525
dec-tree,693854462,25958968236,1710960242525
dec-tree,652489926,26719631230,1710960242525
dec-tree,636576733,27455460719,1710960242525
dec-tree,685224087,28164242628,1710960242525
dec-tree,618853973,28917777179,1710960242525
dec-tree,652613372,29603062404,1710960242525
dec-tree,689354029,30322426407,1710960242525
dec-tree,661114449,31078525545,1710960242525
dec-tree,679507541,31804820318,1710960242525
dec-tree,635192086,32559877844,1710960242525
dec-tree,687053822,33265016532,1710960242525
dec-tree,634007336,34016965541,1710960242525
dec-tree,649201219,34716275676,1710960242525
dec-tree,612446679,35430846289,1710960242525
dec-tree,588327663,36110834458,1710960242525
dec-tree,636234774,36764907348,1710960242525
