benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3713045222,2878608437,1710960385405
dec-tree,925050507,6738990222,1710960385405
dec-tree,916730367,7779665974,1710960385405
dec-tree,790698091,8795929544,1710960385405
dec-tree,726676124,9703105978,1710960385405
dec-tree,765610570,10535149036,1710960385405
dec-tree,683635769,11402389968,1710960385405
dec-tree,696392504,12178388765,1710960385405
dec-tree,710025876,12956253430,1710960385405
dec-tree,613623122,13758752685,1710960385405
dec-tree,634409286,14453074510,1710960385405
dec-tree,626012959,15167009063,1710960385405
dec-tree,682058650,15877260329,1710960385405
dec-tree,618794297,16633966641,1710960385405
dec-tree,638564242,17328635959,1710960385405
dec-tree,597064344,18042620490,1710960385405
dec-tree,618496968,18725269815,1710960385405
dec-tree,594846596,19421843088,1710960385405
dec-tree,615219032,20089836931,1710960385405
dec-tree,612426559,20788655323,1710960385405
dec-tree,596371624,21484132101,1710960385405
dec-tree,596539114,22153781862,1710960385405
dec-tree,599023214,22826238299,1710960385405
dec-tree,583638862,23515534471,1710960385405
dec-tree,610288291,24173159789,1710960385405
dec-tree,607949254,24863027663,1710960385405
dec-tree,603762599,25546335758,1710960385405
dec-tree,590554810,26234245504,1710960385405
dec-tree,561548735,26900464180,1710960385405
dec-tree,568731794,27538881711,1710960385405
dec-tree,550315515,28190230822,1710960385405
dec-tree,572926854,28813839620,1710960385405
dec-tree,659049006,29465508076,1710960385405
dec-tree,578880267,30203367181,1710960385405
dec-tree,660032212,30856185053,1710960385405
dec-tree,591286681,31598262827,1710960385405
dec-tree,558423031,32271109434,1710960385405
dec-tree,541292792,32913581382,1710960385405
dec-tree,536720525,33534415742,1710960385405
dec-tree,532792521,34153339897,1710960385405
