benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3561543195,2791203212,1710960455405
dec-tree,961840811,6473552301,1710960455405
dec-tree,929393593,7546519984,1710960455405
dec-tree,805131579,8588196066,1710960455405
dec-tree,724140957,9495825269,1710960455405
dec-tree,807031294,10316188709,1710960455405
dec-tree,692003072,11213825116,1710960455405
dec-tree,796907871,12002614796,1710960455405
dec-tree,695446332,12880776152,1710960455405
dec-tree,679703559,13668121347,1710960455405
dec-tree,678511099,14435763967,1710960455405
dec-tree,650118599,15193782157,1710960455405
dec-tree,654671897,15928300116,1710960455405
dec-tree,621791390,16677039607,1710960455405
dec-tree,661428769,17384864649,1710960455405
dec-tree,627092164,18121322531,1710960455405
dec-tree,607274380,18840664657,1710960455405
dec-tree,631798930,19524106899,1710960455405
dec-tree,611920338,20241794091,1710960455405
dec-tree,586004683,20936729743,1710960455405
dec-tree,627207877,21599856156,1710960455405
dec-tree,597987007,22307748864,1710960455405
dec-tree,567598708,22981013679,1710960455405
dec-tree,563338630,23623582341,1710960455405
dec-tree,628810795,24266616465,1710960455405
dec-tree,608364661,24971913169,1710960455405
dec-tree,568718710,25663778793,1710960455405
dec-tree,605143897,26311357296,1710960455405
dec-tree,541059465,26998192941,1710960455405
dec-tree,646633887,27620167446,1710960455405
dec-tree,564546105,28345934133,1710960455405
dec-tree,582341464,28990685006,1710960455405
dec-tree,624874500,29656485971,1710960455405
dec-tree,615876991,30362914139,1710960455405
dec-tree,642306962,31056084821,1710960455405
dec-tree,542056450,31782209888,1710960455405
dec-tree,569741074,32406101152,1710960455405
dec-tree,551834924,33059190977,1710960455405
dec-tree,591048837,33689528449,1710960455405
dec-tree,548691722,34355265485,1710960455405
