benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3743684507,3074489740,1710960561911
dec-tree,889580724,6933226717,1710960561911
dec-tree,886984193,7924795671,1710960561911
dec-tree,811909073,8914201371,1710960561911
dec-tree,738236202,9850662158,1710960561911
dec-tree,774753309,10700478824,1710960561911
dec-tree,741735668,11582190154,1710960561911
dec-tree,705244751,12426088083,1710960561911
dec-tree,689481273,13223456573,1710960561911
dec-tree,708021011,13998314768,1710960561911
dec-tree,632382658,14794269512,1710960561911
dec-tree,632305564,15508656242,1710960561911
dec-tree,663525121,16239981695,1710960561911
dec-tree,648943081,16997749877,1710960561911
dec-tree,629946103,17732872778,1710960561911
dec-tree,664224105,18449130448,1710960561911
dec-tree,595796238,19194440931,1710960561911
dec-tree,598391246,19879350282,1710960561911
dec-tree,634255648,20567446745,1710960561911
dec-tree,607348188,21285740223,1710960561911
dec-tree,630780402,21964448544,1710960561911
dec-tree,640641765,22678738203,1710960561911
dec-tree,644852014,23411958818,1710960561911
dec-tree,572930204,24141015997,1710960561911
dec-tree,631454753,24791056010,1710960561911
dec-tree,576716054,25515118930,1710960561911
dec-tree,582368690,26172571035,1710960561911
dec-tree,640328836,26847784046,1710960561911
dec-tree,554696701,27552906495,1710960561911
dec-tree,617451811,28195713579,1710960561911
dec-tree,578865778,28886218307,1710960561911
dec-tree,617438820,29555234170,1710960561911
dec-tree,687763231,30241589839,1710960561911
dec-tree,621046792,31000772119,1710960561911
dec-tree,659734644,31686362688,1710960561911
dec-tree,585609168,32405004797,1710960561911
dec-tree,562425241,33068764635,1710960561911
dec-tree,570427844,33709390647,1710960561911
dec-tree,597531920,34341397359,1710960561911
dec-tree,540306572,35009599404,1710960561911
