benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3656469906,3066363213,1710960635081
dec-tree,995576316,6839374478,1710960635081
dec-tree,929274494,7944752236,1710960635081
dec-tree,831681271,8966526507,1710960635081
dec-tree,884418684,9921174628,1710960635081
dec-tree,791733885,10930703876,1710960635081
dec-tree,753802541,11839303610,1710960635081
dec-tree,719715235,12697460645,1710960635081
dec-tree,716459924,13516109162,1710960635081
dec-tree,649842599,14324669852,1710960635081
dec-tree,707543426,15070061455,1710960635081
dec-tree,679747143,15868641668,1710960635081
dec-tree,697385383,16645476451,1710960635081
dec-tree,667755051,17432833925,1710960635081
dec-tree,666007142,18191500521,1710960635081
dec-tree,701383569,18958215493,1710960635081
dec-tree,674591671,19759960737,1710960635081
dec-tree,640079478,20524134361,1710960635081
dec-tree,665488040,21255135899,1710960635081
dec-tree,699254102,22000301608,1710960635081
dec-tree,686192199,22778253090,1710960635081
dec-tree,670140798,23553287902,1710960635081
dec-tree,597426405,24323252589,1710960635081
dec-tree,654222294,25001516452,1710960635081
dec-tree,717484138,25752608061,1710960635081
dec-tree,694479050,26539237526,1710960635081
dec-tree,628160750,27328778133,1710960635081
dec-tree,652107678,28044589902,1710960635081
dec-tree,606659354,28761684128,1710960635081
dec-tree,596132467,29447160388,1710960635081
dec-tree,653786318,30120539307,1710960635081
dec-tree,594252264,30833117901,1710960635081
dec-tree,693941007,31489129968,1710960635081
dec-tree,645312137,32240239927,1710960635081
dec-tree,675830340,32967828307,1710960635081
dec-tree,642132049,33709924724,1710960635081
dec-tree,630280248,34435527976,1710960635081
dec-tree,575225462,35131995284,1710960635081
dec-tree,578098467,35768823247,1710960635081
dec-tree,555993132,36419459109,1710960635081
