benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3783039603,3136796614,1710960709271
dec-tree,1367576278,7048145786,1710960709271
dec-tree,1408555454,8532073906,1710960709271
dec-tree,1372463099,10052877277,1710960709271
dec-tree,1375492436,11501190364,1710960709271
dec-tree,1365539257,12985241933,1710960709271
dec-tree,1259392400,14471020480,1710960709271
dec-tree,1293081765,15849766348,1710960709271
dec-tree,1196092338,17245534715,1710960709271
dec-tree,1313578826,18555556653,1710960709271
dec-tree,1283632734,19981752898,1710960709271
dec-tree,1286626675,21366795516,1710960709271
dec-tree,1277908541,22751947937,1710960709271
dec-tree,1190166267,24130619083,1710960709271
dec-tree,1193695382,25435010306,1710960709271
dec-tree,1149775226,26728885409,1710960709271
dec-tree,1284326222,27977225670,1710960709271
dec-tree,1118271651,29359389563,1710960709271
dec-tree,1253641838,30578497047,1710960709271
dec-tree,1239905921,31933133778,1710960709271
dec-tree,1244106526,33266138794,1710960709271
dec-tree,1289727218,34601071859,1710960709271
dec-tree,1116532990,35985197328,1710960709271
dec-tree,1106457515,37199148858,1710960709271
dec-tree,1084882723,38398795698,1710960709271
dec-tree,1180993246,39578663699,1710960709271
dec-tree,1546880839,40864723604,1710960709271
dec-tree,1424614860,42514493569,1710960709271
dec-tree,1351091652,44037004287,1710960709271
dec-tree,1332231509,45496757508,1710960709271
dec-tree,1296861794,46925392835,1710960709271
dec-tree,1289818786,48317214460,1710960709271
dec-tree,1408022176,49710721844,1710960709271
dec-tree,1252869124,51234965671,1710960709271
dec-tree,1319599764,52591437644,1710960709271
dec-tree,1338556193,54003472809,1710960709271
dec-tree,1363680822,55401642317,1710960709271
dec-tree,1289335706,56861531771,1710960709271
dec-tree,1187690136,58252290112,1710960709271
dec-tree,1244812887,59550998970,1710960709271
