benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3689666526,2875729317,1710960843577
dec-tree,944730468,6686751121,1710960843577
dec-tree,922456896,7762464425,1710960843577
dec-tree,830108752,8789252544,1710960843577
dec-tree,840717478,9707690475,1710960843577
dec-tree,765126377,10671926423,1710960843577
dec-tree,731956026,11541801656,1710960843577
dec-tree,678279023,12371718423,1710960843577
dec-tree,679668575,13153368931,1710960843577
dec-tree,687917633,13919033044,1710960843577
dec-tree,656694877,14699276933,1710960843577
dec-tree,659983783,15441520682,1710960843577
dec-tree,699305611,16189498577,1710960843577
dec-tree,662087432,16972056998,1710960843577
dec-tree,678528871,17723460585,1710960843577
dec-tree,730993477,18488230106,1710960843577
dec-tree,632211731,19310414391,1710960843577
dec-tree,640152632,20028937451,1710960843577
dec-tree,616435274,20771482029,1710960843577
dec-tree,622067380,21472703860,1710960843577
dec-tree,630083028,22174678269,1710960843577
dec-tree,599238079,22883876609,1710960843577
dec-tree,599194599,23566805793,1710960843577
dec-tree,640617214,24256119264,1710960843577
dec-tree,575951627,24973859909,1710960843577
dec-tree,549218828,25634840852,1710960843577
dec-tree,586630970,26262971175,1710960843577
dec-tree,552246252,26928623114,1710960843577
dec-tree,543719284,27559808891,1710960843577
dec-tree,564803504,28215437033,1710960843577
dec-tree,615329289,28862360907,1710960843577
dec-tree,560329999,29555778439,1710960843577
dec-tree,572153397,30195006736,1710960843577
dec-tree,584506062,30848032711,1710960843577
dec-tree,658175285,31512149640,1710960843577
dec-tree,570748385,32252944675,1710960843577
dec-tree,550444308,32905199898,1710960843577
dec-tree,528280292,33540616957,1710960843577
dec-tree,574363552,34148210339,1710960843577
dec-tree,597194529,34808952677,1710960843577
