benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3752813935,2952548492,1710960914860
dec-tree,1006044750,6837677365,1710960914860
dec-tree,927271228,7959499243,1710960914860
dec-tree,787299147,8980494896,1710960914860
dec-tree,771364364,9887029208,1710960914860
dec-tree,723872358,10781191347,1710960914860
dec-tree,726442353,11613954976,1710960914860
dec-tree,771175959,12442693131,1710960914860
dec-tree,712271287,13327602882,1710960914860
dec-tree,675933763,14132316884,1710960914860
dec-tree,638742351,14881924559,1710960914860
dec-tree,635160534,15616992167,1710960914860
dec-tree,632038138,16336268070,1710960914860
dec-tree,699763992,17052796514,1710960914860
dec-tree,656621859,17841263575,1710960914860
dec-tree,648134306,18584548740,1710960914860
dec-tree,629256314,19335297461,1710960914860
dec-tree,640844207,20048233518,1710960914860
dec-tree,626631809,20774320442,1710960914860
dec-tree,627027054,21524250251,1710960914860
dec-tree,608494714,22223679930,1710960914860
dec-tree,611743689,22906778002,1710960914860
dec-tree,624952648,23600700058,1710960914860
dec-tree,579598171,24287913323,1710960914860
dec-tree,650668471,24957359492,1710960914860
dec-tree,614419808,25684183664,1710960914860
dec-tree,582464720,26361459220,1710960914860
dec-tree,569475900,27031349099,1710960914860
dec-tree,605684037,27660646178,1710960914860
dec-tree,619232712,28351003361,1710960914860
dec-tree,579103872,29042838671,1710960914860
dec-tree,607120158,29682079182,1710960914860
dec-tree,675869267,30368966547,1710960914860
dec-tree,605038499,31124256504,1710960914860
dec-tree,645942804,31798398468,1710960914860
dec-tree,567501975,32534294518,1710960914860
dec-tree,564324910,33164587709,1710960914860
dec-tree,591596484,33797300720,1710960914860
dec-tree,553351667,34456768813,1710960914860
dec-tree,555535874,35080394379,1710960914860
