benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3709444631,2844962081,1710960985954
dec-tree,935511140,6683877913,1710960985954
dec-tree,902231260,7756646830,1710960985954
dec-tree,830286600,8772270918,1710960985954
dec-tree,723655823,9721874431,1710960985954
dec-tree,756624750,10554175832,1710960985954
dec-tree,790318291,11438530466,1710960985954
dec-tree,723651756,12332571600,1710960985954
dec-tree,696818566,13173433133,1710960985954
dec-tree,680421290,13966165560,1710960985954
dec-tree,703877338,14739322813,1710960985954
dec-tree,627093079,15544915212,1710960985954
dec-tree,637602419,16268246923,1710960985954
dec-tree,704583043,17002332409,1710960985954
dec-tree,644573328,17797416145,1710960985954
dec-tree,652098509,18529987862,1710960985954
dec-tree,692775879,19278845067,1710960985954
dec-tree,623663245,20062101022,1710960985954
dec-tree,611735639,20770302675,1710960985954
dec-tree,632606130,21464547724,1710960985954
dec-tree,609457700,22190248385,1710960985954
dec-tree,553160746,22881564666,1710960985954
dec-tree,578182897,23518840821,1710960985954
dec-tree,573859087,24181644861,1710960985954
dec-tree,643790250,24835645588,1710960985954
dec-tree,602672684,25566586284,1710960985954
dec-tree,582520523,26257718098,1710960985954
dec-tree,615876197,26923454914,1710960985954
dec-tree,595320554,27616887293,1710960985954
dec-tree,592036492,28296782864,1710960985954
dec-tree,607522695,28966496488,1710960985954
dec-tree,591352449,29663445217,1710960985954
dec-tree,660295971,30331801882,1710960985954
dec-tree,611315172,31070684839,1710960985954
dec-tree,635066351,31759850231,1710960985954
dec-tree,517137309,32471896358,1710960985954
dec-tree,566268134,33074699640,1710960985954
dec-tree,554072093,33728539365,1710960985954
dec-tree,589676658,34365549277,1710960985954
dec-tree,598878983,35032289967,1710960985954
