benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3709604770,2898298335,1710961093624
dec-tree,1016148001,6725008196,1710961093624
dec-tree,862343854,7832530666,1710961093624
dec-tree,826349137,8777491021,1710961093624
dec-tree,753909496,9710163399,1710961093624
dec-tree,702190800,10567134121,1710961093624
dec-tree,742684201,11383074782,1710961093624
dec-tree,769432464,12219127788,1710961093624
dec-tree,702410647,13081848684,1710961093624
dec-tree,710330855,13864513536,1710961093624
dec-tree,662085911,14653131929,1710961093624
dec-tree,644111367,15385204826,1710961093624
dec-tree,639037540,16103910189,1710961093624
dec-tree,621419323,16820979931,1710961093624
dec-tree,676949771,17524459335,1710961093624
dec-tree,703715040,18286619475,1710961093624
dec-tree,671875711,19074286715,1710961093624
dec-tree,646106994,19822329208,1710961093624
dec-tree,625034699,20550499215,1710961093624
dec-tree,629536131,21244083032,1710961093624
dec-tree,595937787,21947584685,1710961093624
dec-tree,561224833,22612481280,1710961093624
dec-tree,610564179,23242085618,1710961093624
dec-tree,667643173,23921305405,1710961093624
dec-tree,598421723,24664913090,1710961093624
dec-tree,602923893,25338974628,1710961093624
dec-tree,591609241,26005240207,1710961093624
dec-tree,578544919,26671936453,1710961093624
dec-tree,591849686,27340237760,1710961093624
dec-tree,596608581,28008737427,1710961093624
dec-tree,610562510,28667783723,1710961093624
dec-tree,592015872,29341754577,1710961093624
dec-tree,728284434,29998074058,1710961093624
dec-tree,658206039,30804315625,1710961093624
dec-tree,779821796,31535079213,1710961093624
dec-tree,547686248,32378303424,1710961093624
dec-tree,562160919,32998133990,1710961093624
dec-tree,540651804,33623782257,1710961093624
dec-tree,603882127,34230130950,1710961093624
dec-tree,602101329,34897002822,1710961093624
