benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3855816374,2834388661,1710961021695
dec-tree,894735644,6832191433,1710961021695
dec-tree,840207066,7859635949,1710961021695
dec-tree,860511842,8832921422,1710961021695
dec-tree,784490152,9796467563,1710961021695
dec-tree,768298302,10690478100,1710961021695
dec-tree,722387826,11567236746,1710961021695
dec-tree,721683523,12406916122,1710961021695
dec-tree,732849034,13226205092,1710961021695
dec-tree,665509322,14050604040,1710961021695
dec-tree,677566950,14806447304,1710961021695
dec-tree,666345576,15594477685,1710961021695
dec-tree,659643222,16348016740,1710961021695
dec-tree,668174638,17097036206,1710961021695
dec-tree,694144370,17847853064,1710961021695
dec-tree,652547480,18642327443,1710961021695
dec-tree,583799163,19397500788,1710961021695
dec-tree,575547833,20076272372,1710961021695
dec-tree,631751223,20736346189,1710961021695
dec-tree,631790275,21451746858,1710961021695
dec-tree,619790601,22161372582,1710961021695
dec-tree,593943463,22860266534,1710961021695
dec-tree,640498448,23533365529,1710961021695
dec-tree,584809642,24254355738,1710961021695
dec-tree,646796905,24919077130,1710961021695
dec-tree,623077338,25649390739,1710961021695
dec-tree,594994280,26364246639,1710961021695
dec-tree,623208258,27036789443,1710961021695
dec-tree,549789625,27744091303,1710961021695
dec-tree,578626829,28405607579,1710961021695
dec-tree,562352517,29065449731,1710961021695
dec-tree,589047498,29703825571,1710961021695
dec-tree,617631156,30373052889,1710961021695
dec-tree,566365478,31066874934,1710961021695
dec-tree,636765427,31712234882,1710961021695
dec-tree,560864553,32427701407,1710961021695
dec-tree,601225857,33067650359,1710961021695
dec-tree,548666656,33742921928,1710961021695
dec-tree,529837216,34368494038,1710961021695
dec-tree,549694337,34986005908,1710961021695
