benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3771344283,2974635825,1710961235702
dec-tree,1000295583,6875773349,1710961235702
dec-tree,859033804,7980327066,1710961235702
dec-tree,821814917,8945155934,1710961235702
dec-tree,742174647,9880340054,1710961235702
dec-tree,759471578,10743424764,1710961235702
dec-tree,750585189,11641874667,1710961235702
dec-tree,666067809,12500196518,1710961235702
dec-tree,689199124,13305225886,1710961235702
dec-tree,719664652,14102995949,1710961235702
dec-tree,674964245,14912020456,1710961235702
dec-tree,671345562,15688572909,1710961235702
dec-tree,706266635,16460758510,1710961235702
dec-tree,636982040,17255459561,1710961235702
dec-tree,648374447,17980250655,1710961235702
dec-tree,568167184,18720331419,1710961235702
dec-tree,627102068,19378391652,1710961235702
dec-tree,636361116,20095742106,1710961235702
dec-tree,566546864,20818579773,1710961235702
dec-tree,545041251,21473971413,1710961235702
dec-tree,623779383,22105783397,1710961235702
dec-tree,607847504,22821885912,1710961235702
dec-tree,656784600,23514667734,1710961235702
dec-tree,604361877,24270635738,1710961235702
dec-tree,588679094,24958916835,1710961235702
dec-tree,596994136,25635201340,1710961235702
dec-tree,547788942,26315028021,1710961235702
dec-tree,591242278,26943446342,1710961235702
dec-tree,570339875,27611822391,1710961235702
dec-tree,538427595,28275294689,1710961235702
dec-tree,573044182,28894991752,1710961235702
dec-tree,604494404,29554683417,1710961235702
dec-tree,639640018,30251993246,1710961235702
dec-tree,574915845,30971421109,1710961235702
dec-tree,626371113,31635594540,1710961235702
dec-tree,584273912,32343175426,1710961235702
dec-tree,564002001,33007695771,1710961235702
dec-tree,561914491,33648742344,1710961235702
dec-tree,569800351,34290211394,1710961235702
dec-tree,571231500,34946405158,1710961235702
