benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3780322337,3146132704,1710961310546
dec-tree,927502377,7038433951,1710961310546
dec-tree,903538675,8080373728,1710961310546
dec-tree,811409367,9071293496,1710961310546
dec-tree,786364649,9977181209,1710961310546
dec-tree,721437355,10868693176,1710961310546
dec-tree,750429215,11699965199,1710961310546
dec-tree,717980491,12551440445,1710961310546
dec-tree,670165145,13369815014,1710961310546
dec-tree,697403177,14130078647,1710961310546
dec-tree,697194592,14907717230,1710961310546
dec-tree,693167357,15688107542,1710961310546
dec-tree,673270706,16456718049,1710961310546
dec-tree,606955775,17211859632,1710961310546
dec-tree,667089292,17894724435,1710961310546
dec-tree,620327177,18638474090,1710961310546
dec-tree,666604746,19335980359,1710961310546
dec-tree,664602751,20078517569,1710961310546
dec-tree,647026838,20818382166,1710961310546
dec-tree,610379634,21540429804,1710961310546
dec-tree,659016021,22233115446,1710961310546
dec-tree,592618975,22968244785,1710961310546
dec-tree,657005216,23634877869,1710961310546
dec-tree,631780608,24367283199,1710961310546
dec-tree,648944596,25082423865,1710961310546
dec-tree,591237224,25804619171,1710961310546
dec-tree,559714264,26468954002,1710961310546
dec-tree,553606185,27101460189,1710961310546
dec-tree,589948732,27729995997,1710961310546
dec-tree,583866943,28396009099,1710961310546
dec-tree,624898004,29058218961,1710961310546
dec-tree,645895926,29766254657,1710961310546
dec-tree,647584686,30478494999,1710961310546
dec-tree,616014555,31201083929,1710961310546
dec-tree,664651809,31903072314,1710961310546
dec-tree,525551292,32648211915,1710961310546
dec-tree,614047402,33251381131,1710961310546
dec-tree,543897898,33939535135,1710961310546
dec-tree,574835969,34575523693,1710961310546
dec-tree,634652411,35224628669,1710961310546
