benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dec-tree,3657087540,2832152829,1710961271321
dec-tree,1027173987,6617936778,1710961271321
dec-tree,928032405,7745948390,1710961271321
dec-tree,885977212,8776052647,1710961271321
dec-tree,812535330,9785841116,1710961271321
dec-tree,808074667,10710155955,1710961271321
dec-tree,744402200,11631925071,1710961271321
dec-tree,748646104,12492951443,1710961271321
dec-tree,807669816,13349039181,1710961271321
dec-tree,833983689,14248321226,1710961271321
dec-tree,788416976,15161097843,1710961271321
dec-tree,772794763,16043172904,1710961271321
dec-tree,727342575,16912250084,1710961271321
dec-tree,784159669,17710429268,1710961271321
dec-tree,806029077,18591835225,1710961271321
dec-tree,783986619,19496936754,1710961271321
dec-tree,761938910,20366543571,1710961271321
dec-tree,716514233,21198993594,1710961271321
dec-tree,770568557,21994229072,1710961271321
dec-tree,748851856,22849098403,1710961271321
dec-tree,726157892,23674130434,1710961271321
dec-tree,755418441,24472437369,1710961271321
dec-tree,763661633,25290970436,1710961271321
dec-tree,718332255,26139427074,1710961271321
dec-tree,649431704,26937470613,1710961271321
dec-tree,685805152,27664571943,1710961271321
dec-tree,689298458,28434126185,1710961271321
dec-tree,692844492,29190865422,1710961271321
dec-tree,675402761,29945516083,1710961271321
dec-tree,708205700,30719606239,1710961271321
dec-tree,753895847,31524298616,1710961271321
dec-tree,722809786,32338593144,1710961271321
dec-tree,771260601,33137676120,1710961271321
dec-tree,674415989,33985620889,1710961271321
dec-tree,740386128,34718090660,1710961271321
dec-tree,630497431,35543193529,1710961271321
dec-tree,611738548,36243709945,1710961271321
dec-tree,700185787,36909791361,1710961271321
dec-tree,677550684,37677372452,1710961271321
dec-tree,700099945,38421463468,1710961271321
