benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dotty,6255015813,458941039,1711111949882
dotty,1787512188,6986280285,1711111949882
dotty,1546899340,8967018031,1711111949882
dotty,1478904837,10709622417,1711111949882
dotty,1361726894,12562594915,1711111949882
dotty,1266205251,14167477404,1711111949882
dotty,1106827598,15579462491,1711111949882
dotty,1088998425,16832478798,1711111949882
dotty,1143183679,18067567042,1711111949882
dotty,1051898073,19452298929,1711111949882
dotty,1113856489,20650086444,1711111949882
dotty,1130843148,21912671629,1711111949882
dotty,1184827464,23192753421,1711111949882
dotty,1044129086,24532053985,1711111949882
dotty,1063778228,25721628625,1711111949882
dotty,1245196215,26960344344,1711111949882
dotty,1148876583,28483233090,1711111949882
dotty,1015778985,29785599552,1711111949882
dotty,1194677434,30948148225,1711111949882
dotty,1157194267,32384854929,1711111949882
dotty,1109254865,33723327838,1711111949882
dotty,1075796422,34977594626,1711111949882
dotty,1173073483,36287126487,1711111949882
dotty,1077220638,37636813391,1711111949882
dotty,1579006486,38945379387,1711111949882
dotty,1670728773,40805473513,1711111949882
dotty,1334483758,42707254132,1711111949882
dotty,817654485,44356929556,1711111949882
dotty,782356326,45321963957,1711111949882
dotty,733933409,46257358435,1711111949882
dotty,785736734,47164650701,1711111949882
dotty,756553926,48125029887,1711111949882
dotty,761445504,49026495452,1711111949882
dotty,731966489,49934735151,1711111949882
dotty,625118296,50811762005,1711111949882
dotty,672567349,51581510517,1711111949882
dotty,667511003,52398377566,1711111949882
dotty,698281891,53269656083,1711111949882
dotty,679774949,54140700425,1711111949882
dotty,685246657,54991509479,1711111949882
dotty,728317713,55822374912,1711111949882
dotty,641810369,56693743588,1711111949882
dotty,641083097,57481282796,1711111949882
dotty,674574490,58265417139,1711111949882
dotty,621741165,59112331594,1711111949882
dotty,698269960,59877743463,1711111949882
dotty,639428862,60721330870,1711111949882
dotty,687127879,61533363315,1711111949882
dotty,720579130,62393183079,1711111949882
dotty,624676754,63257026202,1711111949882
