benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dotty,5884176404,455292793,1711112180692
dotty,1584166009,6630269418,1711112180692
dotty,1287840838,8407021162,1711112180692
dotty,1136313624,9893450328,1711112180692
dotty,980593150,11231472829,1711112180692
dotty,1008737128,12517841239,1711112180692
dotty,880245030,13701515513,1711112180692
dotty,834786041,14728181813,1711112180692
dotty,943434484,15710738823,1711112180692
dotty,954791149,16800417372,1711112180692
dotty,951827798,17931323957,1711112180692
dotty,933363412,19029472199,1711112180692
dotty,910404421,20110133615,1711112180692
dotty,795876480,21168346070,1711112180692
dotty,907753996,22110904276,1711112180692
dotty,817941277,23168888795,1711112180692
dotty,923429377,24134207587,1711112180692
dotty,742904684,25204471640,1711112180692
dotty,810397067,26093752181,1711112180692
dotty,796586504,27051254966,1711112180692
dotty,883688520,28025900486,1711112180692
dotty,899888023,29056273314,1711112180692
dotty,815380434,30133481143,1711112180692
dotty,809889688,31096855585,1711112180692
dotty,820990028,32115010320,1711112180692
dotty,861864672,33082885764,1711112180692
dotty,811298757,34090642368,1711112180692
dotty,690357819,35050570738,1711112180692
dotty,1416915243,35889841650,1711112180692
dotty,1552895210,37570507389,1711112180692
dotty,1210946783,39412274557,1711112180692
dotty,1174246579,40836925093,1711112180692
dotty,647985527,42188796283,1711112180692
dotty,641010276,43058532195,1711112180692
dotty,602025836,43870555996,1711112180692
dotty,589501344,44616512780,1711112180692
dotty,574740450,45376451506,1711112180692
dotty,518421316,46123447820,1711112180692
dotty,587179250,46785118816,1711112180692
dotty,598887382,47542465806,1711112180692
dotty,629486914,48286160475,1711112180692
dotty,570871156,49086986040,1711112180692
dotty,551893910,49803832742,1711112180692
dotty,559787532,50501047080,1711112180692
dotty,572743713,51207836033,1711112180692
dotty,571126764,51926073925,1711112180692
dotty,567231836,52644142720,1711112180692
dotty,549728971,53380737602,1711112180692
dotty,500514196,54073268162,1711112180692
dotty,519706328,54717115831,1711112180692
