benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dotty,5763152354,455529290,1711112236110
dotty,1700658293,6482520637,1711112236110
dotty,1330475723,8384680240,1711112236110
dotty,1125363166,9913498643,1711112236110
dotty,1023341067,11205086142,1711112236110
dotty,1006648834,12457683624,1711112236110
dotty,878748590,13624307716,1711112236110
dotty,919638134,14649250044,1711112236110
dotty,879128570,15715901308,1711112236110
dotty,815685018,16739661682,1711112236110
dotty,884107759,17702101191,1711112236110
dotty,1144633869,18732765529,1711112236110
dotty,1086305865,20052851058,1711112236110
dotty,978039309,21313427775,1711112236110
dotty,770624173,22435511393,1711112236110
dotty,883896677,23354421902,1711112236110
dotty,992821688,24486799846,1711112236110
dotty,811288246,25624312435,1711112236110
dotty,806793503,26583636237,1711112236110
dotty,948342731,27566278770,1711112236110
dotty,910562375,28661581277,1711112236110
dotty,751365624,29716075356,1711112236110
dotty,796102073,30706202239,1711112236110
dotty,852343730,31708741976,1711112236110
dotty,734218577,32863944058,1711112236110
dotty,765099976,33746115151,1711112236110
dotty,799750146,34654872887,1711112236110
dotty,780628667,35665466670,1711112236110
dotty,1639079478,36593391085,1711112236110
dotty,1287527783,38450508524,1711112236110
dotty,1197647828,39955542904,1711112236110
dotty,988325578,41380038948,1711112236110
dotty,646890507,42513438624,1711112236110
dotty,594366347,43333584481,1711112236110
dotty,587472451,44074115656,1711112236110
dotty,633350953,44901762230,1711112236110
dotty,597365969,45679383717,1711112236110
dotty,611266304,46420330426,1711112236110
dotty,564497541,47248028336,1711112236110
dotty,601623499,48019289654,1711112236110
dotty,569667302,48768696498,1711112236110
dotty,535698965,49492942201,1711112236110
dotty,501840893,50172362020,1711112236110
dotty,539343474,50819764851,1711112236110
dotty,519826113,51504833950,1711112236110
dotty,570522648,52169300412,1711112236110
dotty,486929561,52886186248,1711112236110
dotty,529314144,53515896657,1711112236110
dotty,530523445,54191844357,1711112236110
dotty,477538942,54865383064,1711112236110
