benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dotty,5897611795,476101119,1711112347162
dotty,1786858565,6612341449,1711112347162
dotty,1309814474,8613731396,1711112347162
dotty,1195125539,10171394333,1711112347162
dotty,963492364,11557605532,1711112347162
dotty,1010678483,12682039652,1711112347162
dotty,882062007,13882508254,1711112347162
dotty,911190135,14974220993,1711112347162
dotty,900078682,16031975439,1711112347162
dotty,934948864,17105456137,1711112347162
dotty,972271322,18215783549,1711112347162
dotty,826317881,19361947516,1711112347162
dotty,851709242,20364418636,1711112347162
dotty,1063208722,21363611510,1711112347162
dotty,889301608,22574079919,1711112347162
dotty,758073705,23608292618,1711112347162
dotty,818127245,24512513970,1711112347162
dotty,858633817,25478568059,1711112347162
dotty,729688342,26484333325,1711112347162
dotty,821400434,27528287941,1711112347162
dotty,725028689,28496080275,1711112347162
dotty,784491654,29366336837,1711112347162
dotty,783853712,30415141342,1711112347162
dotty,781016153,31343706373,1711112347162
dotty,751301883,32269220959,1711112347162
dotty,750094990,33165356891,1711112347162
dotty,757172227,34059773571,1711112347162
dotty,867189156,34963886259,1711112347162
dotty,806918054,35975794622,1711112347162
dotty,1303204124,36927844640,1711112347162
dotty,1372249053,38456280681,1711112347162
dotty,1456395739,40094342159,1711112347162
dotty,951467032,41877453975,1711112347162
dotty,623009820,42976615210,1711112347162
dotty,631252701,43747507779,1711112347162
dotty,646498097,44522897983,1711112347162
dotty,590182642,45314923312,1711112347162
dotty,593555071,46078322278,1711112347162
dotty,512500065,46817058782,1711112347162
dotty,534109409,47474673766,1711112347162
dotty,593517528,48152803837,1711112347162
dotty,580814005,48889255097,1711112347162
dotty,529926855,49616902221,1711112347162
dotty,523040965,50291399394,1711112347162
dotty,520494602,50958620606,1711112347162
dotty,546476957,51622985536,1711112347162
dotty,513109175,52312658041,1711112347162
dotty,544467459,52968148490,1711112347162
dotty,490859490,53657319203,1711112347162
dotty,518088017,54293568897,1711112347162
