benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dotty,5849995247,466454696,1711112512214
dotty,1569067860,6544606827,1711112512214
dotty,1361881528,8310337451,1711112512214
dotty,1141829248,9904570253,1711112512214
dotty,1054618072,11207711520,1711112512214
dotty,1067745384,12484179186,1711112512214
dotty,902052963,13712680194,1711112512214
dotty,833326979,14760120647,1711112512214
dotty,814459948,15746057414,1711112512214
dotty,904235750,16707244367,1711112512214
dotty,793078526,17794013219,1711112512214
dotty,1042427664,18732621939,1711112512214
dotty,1031457347,19949794265,1711112512214
dotty,995254577,21157741948,1711112512214
dotty,808882432,22327872436,1711112512214
dotty,863699719,23283392296,1711112512214
dotty,894478303,24294542955,1711112512214
dotty,985274273,25336615125,1711112512214
dotty,837170178,26469961530,1711112512214
dotty,780788002,27455638540,1711112512214
dotty,764750126,28410270781,1711112512214
dotty,799798786,29321377841,1711112512214
dotty,875110237,30266845927,1711112512214
dotty,875637981,31289182889,1711112512214
dotty,952068314,32310631402,1711112512214
dotty,717755213,33436632131,1711112512214
dotty,817254385,34299912515,1711112512214
dotty,762429326,35265175645,1711112512214
dotty,1640151188,36263359874,1711112512214
dotty,1620981022,38160536712,1711112512214
dotty,1389190609,40040761914,1711112512214
dotty,690382950,41600681299,1711112512214
dotty,672837474,42438678872,1711112512214
dotty,636866617,43258395931,1711112512214
dotty,638204669,44126719082,1711112512214
dotty,648386004,44908060725,1711112512214
dotty,723009681,45704119077,1711112512214
dotty,671210411,46572150518,1711112512214
dotty,639027058,47387700449,1711112512214
dotty,638689752,48169011865,1711112512214
dotty,689831762,48979454455,1711112512214
dotty,702728674,49812151347,1711112512214
dotty,649393411,50658993777,1711112512214
dotty,681488553,51452013349,1711112512214
dotty,627612751,52280739753,1711112512214
dotty,741423176,53051158888,1711112512214
dotty,726971778,53965717814,1711112512214
dotty,686463544,54864642014,1711112512214
dotty,620264687,55696136263,1711112512214
dotty,626039297,56461392792,1711112512214
