benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dotty,5902149893,465270533,1711112754459
dotty,1633977363,6624284707,1711112754459
dotty,1213872055,8510418513,1711112754459
dotty,1194197475,9917398282,1711112754459
dotty,1065425703,11311245239,1711112754459
dotty,1094734109,12593924716,1711112754459
dotty,959346826,13876931031,1711112754459
dotty,926741523,15012025582,1711112754459
dotty,841253579,16085489552,1711112754459
dotty,863635364,17072340209,1711112754459
dotty,1026523379,18088009945,1711112754459
dotty,768228585,19287994285,1711112754459
dotty,810209759,20200976351,1711112754459
dotty,930938048,21157918839,1711112754459
dotty,827056711,22342316098,1711112754459
dotty,824384588,23317335497,1711112754459
dotty,826382207,24289932859,1711112754459
dotty,842712889,25261061550,1711112754459
dotty,841960259,26279866795,1711112754459
dotty,991953978,27297839700,1711112754459
dotty,949579284,28532512721,1711112754459
dotty,869393472,29656381859,1711112754459
dotty,864021435,30700115723,1711112754459
dotty,872700384,31739292527,1711112754459
dotty,829041145,32761223014,1711112754459
dotty,746692119,33762684883,1711112754459
dotty,833854376,34656268478,1711112754459
dotty,704583454,35634111575,1711112754459
dotty,1560993547,36483879364,1711112754459
dotty,1275501512,38321028702,1711112754459
dotty,1252143476,39871609506,1711112754459
dotty,1058500459,41348191741,1711112754459
dotty,611585941,42610088453,1711112754459
dotty,601942063,43369077266,1711112754459
dotty,561561497,44113904643,1711112754459
dotty,582571812,44831929788,1711112754459
dotty,611967635,45618457800,1711112754459
dotty,638758190,46375640970,1711112754459
dotty,643397334,47250202848,1711112754459
dotty,551749173,48036689952,1711112754459
dotty,566842381,48733622223,1711112754459
dotty,516734002,49445244797,1711112754459
dotty,594311411,50105711532,1711112754459
dotty,549507676,50843312142,1711112754459
dotty,587421910,51536692650,1711112754459
dotty,552505828,52267101362,1711112754459
dotty,599368384,53024229066,1711112754459
dotty,553437756,53768167643,1711112754459
dotty,540015021,54466415237,1711112754459
dotty,531750389,55150881646,1711112754459
