benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dotty,5810033925,453063687,1711113310616
dotty,1579453967,6493123654,1711113310616
dotty,1324771270,8340830800,1711113310616
dotty,1127769430,9850025905,1711113310616
dotty,961448676,11170593002,1711113310616
dotty,1107743658,12344958808,1711113310616
dotty,879620068,13600875196,1711113310616
dotty,847805130,14625844364,1711113310616
dotty,931441613,15754020240,1711113310616
dotty,782997746,16831969007,1711113310616
dotty,868861969,17791765701,1711113310616
dotty,924989489,18807147201,1711113310616
dotty,922051122,19880773999,1711113310616
dotty,1053913713,21042894438,1711113310616
dotty,980030577,22272981557,1711113310616
dotty,966417361,23402655126,1711113310616
dotty,854595393,24543144925,1711113310616
dotty,829031350,25542963951,1711113310616
dotty,746306085,26518912566,1711113310616
dotty,795148594,27412460275,1711113310616
dotty,782860275,28353261235,1711113310616
dotty,808463114,29281143879,1711113310616
dotty,766611757,30236354315,1711113310616
dotty,796421126,31177746668,1711113310616
dotty,748873892,32123398509,1711113310616
dotty,822541983,33049762316,1711113310616
dotty,900943200,34076359600,1711113310616
dotty,813404565,35122347179,1711113310616
dotty,811983698,36080414644,1711113310616
dotty,1517005730,37066239232,1711113310616
dotty,1335338317,38806270338,1711113310616
dotty,1288478536,40473131926,1711113310616
dotty,942954833,42039545666,1711113310616
dotty,583879012,43191939208,1711113310616
dotty,675720242,43923191795,1711113310616
dotty,599792600,44771293255,1711113310616
dotty,531012718,45545603993,1711113310616
dotty,542109118,46221023350,1711113310616
dotty,520049061,46911363627,1711113310616
dotty,596248495,47578690594,1711113310616
dotty,507562910,48346013514,1711113310616
dotty,587691292,49001060855,1711113310616
dotty,621515098,49733866719,1711113310616
dotty,567995228,50500447658,1711113310616
dotty,578469079,51212746654,1711113310616
dotty,601252209,51936536693,1711113310616
dotty,524579915,52682470961,1711113310616
dotty,547224031,53352036961,1711113310616
dotty,514015313,54042628219,1711113310616
dotty,517324185,54699306939,1711113310616
