benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dotty,5802065033,500798657,1711113144028
dotty,1594870177,6563317058,1711113144028
dotty,1262651794,8385613811,1711113144028
dotty,1047072482,9814606340,1711113144028
dotty,1035857786,11051280643,1711113144028
dotty,1097922245,12249522067,1711113144028
dotty,875356682,13493861753,1711113144028
dotty,857701289,14642631797,1711113144028
dotty,914783762,15646558347,1711113144028
dotty,912098212,16737665897,1711113144028
dotty,800335892,17798652274,1711113144028
dotty,773921588,18745782240,1711113144028
dotty,781737193,19665219845,1711113144028
dotty,938000631,20595673889,1711113144028
dotty,927221110,21678985846,1711113144028
dotty,816017189,22782067840,1711113144028
dotty,730637164,23745290984,1711113144028
dotty,789300268,24623354024,1711113144028
dotty,836700089,25560252794,1711113144028
dotty,792465571,26605491498,1711113144028
dotty,774535968,27545390061,1711113144028
dotty,915683032,28468167257,1711113144028
dotty,925487285,29559017470,1711113144028
dotty,875024219,30660767411,1711113144028
dotty,755434558,31681701235,1711113144028
dotty,874506700,32584282082,1711113144028
dotty,675079380,33606442293,1711113144028
dotty,726551627,34429179565,1711113144028
dotty,747915918,35303077306,1711113144028
dotty,1561389773,36272018756,1711113144028
dotty,1517484213,38162858266,1711113144028
dotty,1309794628,39942256498,1711113144028
dotty,673669467,41497561745,1711113144028
dotty,606160635,42346798559,1711113144028
dotty,622471323,43100022599,1711113144028
dotty,631688616,43920532596,1711113144028
dotty,659951066,44700353250,1711113144028
dotty,640452658,45532425058,1711113144028
dotty,544845006,46317921068,1711113144028
dotty,609679250,47007332927,1711113144028
dotty,652386675,47763159102,1711113144028
dotty,653677292,48589650920,1711113144028
dotty,537196809,49389676132,1711113144028
dotty,540086730,50072895239,1711113144028
dotty,567759830,50759762988,1711113144028
dotty,658222523,51472378558,1711113144028
dotty,681936055,52302961894,1711113144028
dotty,678706889,53156851260,1711113144028
dotty,577711076,54005736442,1711113144028
dotty,543777206,54728520260,1711113144028
