benchmark,duration_ns,uptime_ns,vm_start_unix_ms
dotty,5817895696,455611204,1711113199485
dotty,1620474781,6554177713,1711113199485
dotty,1303552871,8370099523,1711113199485
dotty,1214470924,9892280639,1711113199485
dotty,1085700356,11374523065,1711113199485
dotty,1049134607,12629041299,1711113199485
dotty,869506935,13967220107,1711113199485
dotty,937303775,14981502378,1711113199485
dotty,810299858,16208470969,1711113199485
dotty,821697119,17165913613,1711113199485
dotty,958926004,18132514996,1711113199485
dotty,990174173,19238391064,1711113199485
dotty,877710079,20402779273,1711113199485
dotty,878641112,21427559957,1711113199485
dotty,1042799292,22575169219,1711113199485
dotty,930226239,23765249577,1711113199485
dotty,887671156,24840890831,1711113199485
dotty,1000913351,25874154646,1711113199485
dotty,1013639613,27049891093,1711113199485
dotty,818387389,28213003772,1711113199485
dotty,700423470,29175490404,1711113199485
dotty,825240940,30022023399,1711113199485
dotty,694994311,30992067974,1711113199485
dotty,828125592,31844133457,1711113199485
dotty,901036626,32847133262,1711113199485
dotty,853083580,33896179967,1711113199485
dotty,804637335,34924301934,1711113199485
dotty,743214577,35876281284,1711113199485
dotty,1663496866,36841293517,1711113199485
dotty,1544288898,38880221878,1711113199485
dotty,1041408851,40645466605,1711113199485
dotty,709491425,41916934041,1711113199485
dotty,622413911,42773524360,1711113199485
dotty,564308124,43543932715,1711113199485
dotty,564737080,44266273234,1711113199485
dotty,594028407,44975697280,1711113199485
dotty,567151357,45712664348,1711113199485
dotty,610373937,46427577207,1711113199485
dotty,608145535,47182020062,1711113199485
dotty,546563479,47933542279,1711113199485
dotty,569601814,48624589625,1711113199485
dotty,542275983,49341288121,1711113199485
dotty,538554985,50032391292,1711113199485
dotty,569060137,50715374429,1711113199485
dotty,543810376,51437696484,1711113199485
dotty,610706825,52124717673,1711113199485
dotty,569689027,52879004532,1711113199485
dotty,464187805,53592089314,1711113199485
dotty,472576846,54200616148,1711113199485
dotty,536027676,54821313513,1711113199485
