benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,5258490527,1408859745,1711113942525
finagle-chirper,4065970131,6745088688,1711113942525
finagle-chirper,3584882247,10889453537,1711113942525
finagle-chirper,4054347467,14544066778,1711113942525
finagle-chirper,2479259332,18676435593,1711113942525
finagle-chirper,2371783865,21200430319,1711113942525
finagle-chirper,2195324342,23647258632,1711113942525
finagle-chirper,2037986006,25928218446,1711113942525
finagle-chirper,1982703632,28042970006,1711113942525
finagle-chirper,1960750824,30111419311,1711113942525
finagle-chirper,1968922243,32145919544,1711113942525
finagle-chirper,1921383950,34200675573,1711113942525
finagle-chirper,1928540603,36179058343,1711113942525
finagle-chirper,2284624129,38160445767,1711113942525
finagle-chirper,1933765647,40504235700,1711113942525
finagle-chirper,1865784545,42491704673,1711113942525
finagle-chirper,1821773784,44411399746,1711113942525
finagle-chirper,1847803292,46285860039,1711113942525
finagle-chirper,1811069064,48183825753,1711113942525
finagle-chirper,1798958611,50043817824,1711113942525
finagle-chirper,1785447298,51898054059,1711113942525
finagle-chirper,1786843310,53733002269,1711113942525
finagle-chirper,1791890732,55569036930,1711113942525
finagle-chirper,1774898552,57409914479,1711113942525
finagle-chirper,1762986461,59234414133,1711113942525
finagle-chirper,1763294970,61076881261,1711113942525
finagle-chirper,1767785466,62907926229,1711113942525
finagle-chirper,1784600095,64730543777,1711113942525
finagle-chirper,1721365776,66568181783,1711113942525
finagle-chirper,1720571940,68344976517,1711113942525
finagle-chirper,1736511738,70118639637,1711113942525
finagle-chirper,1699814068,71904134762,1711113942525
finagle-chirper,1715008603,73654764384,1711113942525
finagle-chirper,1732301656,75420066862,1711113942525
finagle-chirper,1709888192,77213702969,1711113942525
finagle-chirper,1713905482,78973658842,1711113942525
finagle-chirper,1674897799,80739200383,1711113942525
finagle-chirper,1674499230,82463678516,1711113942525
finagle-chirper,1682493372,84198730635,1711113942525
finagle-chirper,1670289070,85934546757,1711113942525
finagle-chirper,1656724599,87654478754,1711113942525
finagle-chirper,1675639696,89365921551,1711113942525
finagle-chirper,1675017409,91091663018,1711113942525
finagle-chirper,1667308765,92816894560,1711113942525
finagle-chirper,1685100788,94546448365,1711113942525
finagle-chirper,1674265986,96291656647,1711113942525
finagle-chirper,1653038645,98020718235,1711113942525
finagle-chirper,1662728668,99723457883,1711113942525
finagle-chirper,1649655245,101435791374,1711113942525
finagle-chirper,1691087801,103135522944,1711113942525
finagle-chirper,1651316718,104881002843,1711113942525
finagle-chirper,1672276499,106581812353,1711113942525
finagle-chirper,1656674397,108309430586,1711113942525
finagle-chirper,1657098932,110015505906,1711113942525
finagle-chirper,1673943420,111726831107,1711113942525
finagle-chirper,1665621834,113451133849,1711113942525
finagle-chirper,1619826752,115172894403,1711113942525
finagle-chirper,1603826213,116850081204,1711113942525
finagle-chirper,1619001746,118518265673,1711113942525
finagle-chirper,1603643374,120200252416,1711113942525
finagle-chirper,1593776617,121867345259,1711113942525
finagle-chirper,1604330155,123535176835,1711113942525
finagle-chirper,1592802021,125207535183,1711113942525
finagle-chirper,1584750905,126863654719,1711113942525
finagle-chirper,1586863513,128511534728,1711113942525
finagle-chirper,1601181129,130161652668,1711113942525
finagle-chirper,1595795118,131825651473,1711113942525
finagle-chirper,1617247631,133485119730,1711113942525
finagle-chirper,1608694089,135165189869,1711113942525
finagle-chirper,1605332174,136864071722,1711113942525
finagle-chirper,1610071486,138533083599,1711113942525
finagle-chirper,1593673382,140206774845,1711113942525
finagle-chirper,1597729283,141873754150,1711113942525
finagle-chirper,1568767759,143534709559,1711113942525
finagle-chirper,1573673515,145166837404,1711113942525
finagle-chirper,1575570936,146803984734,1711113942525
finagle-chirper,1571113715,148442190359,1711113942525
finagle-chirper,1583006844,150077054660,1711113942525
finagle-chirper,1575423979,151723427898,1711113942525
finagle-chirper,1582427905,153361420866,1711113942525
finagle-chirper,1605653349,155006402966,1711113942525
finagle-chirper,1593096560,156675403808,1711113942525
finagle-chirper,1580298031,158331230639,1711113942525
finagle-chirper,1571890032,159975220961,1711113942525
finagle-chirper,1574917013,161610179390,1711113942525
finagle-chirper,1605930920,163250614420,1711113942525
finagle-chirper,1584932478,164919863731,1711113942525
finagle-chirper,1572583636,166566904608,1711113942525
finagle-chirper,1570112127,168202365788,1711113942525
finagle-chirper,1579246376,169836171222,1711113942525
