benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4298985926,1400431569,1711114401336
finagle-chirper,3050674564,5783837157,1711114401336
finagle-chirper,3133302635,8914068835,1711114401336
finagle-chirper,2926079832,12130107890,1711114401336
finagle-chirper,3347078082,15124014672,1711114401336
finagle-chirper,1958394197,18551759450,1711114401336
finagle-chirper,1969482922,20581660633,1711114401336
finagle-chirper,1662389370,22631710922,1711114401336
finagle-chirper,1672621351,24370353008,1711114401336
finagle-chirper,1587788003,26113437799,1711114401336
finagle-chirper,1569038544,27755208807,1711114401336
finagle-chirper,1563388832,29392999347,1711114401336
finagle-chirper,1564184667,31019854677,1711114401336
finagle-chirper,1925835053,32652285315,1711114401336
finagle-chirper,1564657751,34635779689,1711114401336
finagle-chirper,1494984697,36257499952,1711114401336
finagle-chirper,1484640794,37804311584,1711114401336
finagle-chirper,1487253560,39360977174,1711114401336
finagle-chirper,1478660673,40916504869,1711114401336
finagle-chirper,1463518974,42459596122,1711114401336
finagle-chirper,1444283656,43992875645,1711114401336
finagle-chirper,1447146761,45499491208,1711114401336
finagle-chirper,1438518998,47020099780,1711114401336
finagle-chirper,1448376119,48531055621,1711114401336
finagle-chirper,1434387557,50047460440,1711114401336
finagle-chirper,1450100768,51546659166,1711114401336
finagle-chirper,1434977261,53088738329,1711114401336
finagle-chirper,1436477870,54588218377,1711114401336
finagle-chirper,1401691378,56106916174,1711114401336
finagle-chirper,1402232920,57585094963,1711114401336
finagle-chirper,1408303940,59049862340,1711114401336
finagle-chirper,1403549111,60520719184,1711114401336
finagle-chirper,1385919990,62015495084,1711114401336
finagle-chirper,1390374875,63472787199,1711114401336
finagle-chirper,1390210731,64926589864,1711114401336
finagle-chirper,1399659224,66388671630,1711114401336
finagle-chirper,1364240274,67855473307,1711114401336
finagle-chirper,1366956451,69282939510,1711114401336
finagle-chirper,1355270679,70713781047,1711114401336
finagle-chirper,1359689277,72138825988,1711114401336
finagle-chirper,1377466920,73572747071,1711114401336
finagle-chirper,1358497152,75013144209,1711114401336
finagle-chirper,1366755102,76435599001,1711114401336
finagle-chirper,1365960252,77866182737,1711114401336
finagle-chirper,1345504584,79300263234,1711114401336
finagle-chirper,1346276944,80713825636,1711114401336
finagle-chirper,1369564107,82123721773,1711114401336
finagle-chirper,1347701041,83560700037,1711114401336
finagle-chirper,1338717239,84971020014,1711114401336
finagle-chirper,1346586396,86381955585,1711114401336
finagle-chirper,1344000623,87800256436,1711114401336
finagle-chirper,1345108916,89211170158,1711114401336
finagle-chirper,1342529017,90637808760,1711114401336
finagle-chirper,1358448386,92052445919,1711114401336
finagle-chirper,1358428960,93491751329,1711114401336
finagle-chirper,1346791813,94917475788,1711114401336
finagle-chirper,1320255572,96328703770,1711114401336
finagle-chirper,1297658180,97720239235,1711114401336
finagle-chirper,1309437339,99089481351,1711114401336
finagle-chirper,1310697241,100463267342,1711114401336
finagle-chirper,1295261895,101844963838,1711114401336
finagle-chirper,1294270550,103216513411,1711114401336
finagle-chirper,1292591364,104578363419,1711114401336
finagle-chirper,1299132353,105934408205,1711114401336
finagle-chirper,1311214192,107297267739,1711114401336
finagle-chirper,1307549886,108671893181,1711114401336
finagle-chirper,1299744193,110053260643,1711114401336
finagle-chirper,1305238995,111415775019,1711114401336
finagle-chirper,1315287002,112791957358,1711114401336
finagle-chirper,1316067660,114170782980,1711114401336
finagle-chirper,1305948263,115551413868,1711114401336
finagle-chirper,1305297002,116929586602,1711114401336
finagle-chirper,1303335974,118297913916,1711114401336
finagle-chirper,1277717725,119674297473,1711114401336
finagle-chirper,1292467972,121023751315,1711114401336
finagle-chirper,1284526479,122386906165,1711114401336
finagle-chirper,1286688691,123742537676,1711114401336
finagle-chirper,1282582896,125095389609,1711114401336
finagle-chirper,1298648756,126441478987,1711114401336
finagle-chirper,1297166645,127803051984,1711114401336
finagle-chirper,1281076563,129193424333,1711114401336
finagle-chirper,1288442897,130536593467,1711114401336
finagle-chirper,1282559400,131886870659,1711114401336
finagle-chirper,1281302833,133240725159,1711114401336
finagle-chirper,1273904461,134593363579,1711114401336
finagle-chirper,1288388990,135930964112,1711114401336
finagle-chirper,1270198642,137281076293,1711114401336
finagle-chirper,1278486840,138614393365,1711114401336
finagle-chirper,1273837340,139955329413,1711114401336
finagle-chirper,1291854192,141296569058,1711114401336
