benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4361989429,1445003942,1711114543992
finagle-chirper,3000339095,5883023378,1711114543992
finagle-chirper,2869295591,8951885639,1711114543992
finagle-chirper,3152409447,11901153635,1711114543992
finagle-chirper,2387656344,15121474475,1711114543992
finagle-chirper,3039628133,17577192669,1711114543992
finagle-chirper,2127147100,20690887416,1711114543992
finagle-chirper,1939928385,22888661667,1711114543992
finagle-chirper,1633507908,24906658211,1711114543992
finagle-chirper,1638289845,26616921788,1711114543992
finagle-chirper,1606730068,28328403897,1711114543992
finagle-chirper,1557468842,29994901400,1711114543992
finagle-chirper,1562681771,31621422817,1711114543992
finagle-chirper,1968684826,33254802109,1711114543992
finagle-chirper,1566982120,35277540946,1711114543992
finagle-chirper,1515387398,36900526754,1711114543992
finagle-chirper,1478666922,38468816587,1711114543992
finagle-chirper,1516284185,40016275345,1711114543992
finagle-chirper,1470202596,41597105696,1711114543992
finagle-chirper,1461653578,43158803124,1711114543992
finagle-chirper,1457677946,44684858315,1711114543992
finagle-chirper,1444512154,46208451743,1711114543992
finagle-chirper,1431263695,47724214382,1711114543992
finagle-chirper,1431231085,49228031081,1711114543992
finagle-chirper,1435499565,50731863856,1711114543992
finagle-chirper,1428268432,52234666307,1711114543992
finagle-chirper,1433472939,53729544750,1711114543992
finagle-chirper,1433453584,55225884913,1711114543992
finagle-chirper,1400530740,56721980250,1711114543992
finagle-chirper,1393812870,58188981929,1711114543992
finagle-chirper,1400247341,59647275869,1711114543992
finagle-chirper,1390489683,61137776397,1711114543992
finagle-chirper,1388821992,62601348386,1711114543992
finagle-chirper,1381912673,64061002822,1711114543992
finagle-chirper,1382951368,65511444187,1711114543992
finagle-chirper,1377935108,66966400760,1711114543992
finagle-chirper,1369701376,68416310147,1711114543992
finagle-chirper,1360161961,69858095611,1711114543992
finagle-chirper,1357366570,71280547994,1711114543992
finagle-chirper,1351362712,72710855524,1711114543992
finagle-chirper,1357620642,74131488018,1711114543992
finagle-chirper,1355425551,75562722090,1711114543992
finagle-chirper,1353013812,76982417124,1711114543992
finagle-chirper,1353740962,78407111070,1711114543992
finagle-chirper,1376657325,79827337488,1711114543992
finagle-chirper,1350702245,81267038247,1711114543992
finagle-chirper,1343995991,82688940414,1711114543992
finagle-chirper,1350086853,84095972620,1711114543992
finagle-chirper,1336279626,85509493134,1711114543992
finagle-chirper,1348023212,86908872734,1711114543992
finagle-chirper,1350677134,88319876580,1711114543992
finagle-chirper,1344610308,89733251305,1711114543992
finagle-chirper,1345501143,91147538793,1711114543992
finagle-chirper,1353797451,92555729540,1711114543992
finagle-chirper,1361722972,93972527383,1711114543992
finagle-chirper,1356515651,95415046830,1711114543992
finagle-chirper,1308328370,96834991436,1711114543992
finagle-chirper,1302343671,98210350622,1711114543992
finagle-chirper,1309325239,99592061917,1711114543992
finagle-chirper,1297858955,100965684459,1711114543992
finagle-chirper,1306587034,102326173151,1711114543992
finagle-chirper,1296613669,103704026620,1711114543992
finagle-chirper,1346481512,105072352978,1711114543992
finagle-chirper,1293795162,106482031433,1711114543992
finagle-chirper,1294035474,107847191891,1711114543992
finagle-chirper,1300084361,109204484621,1711114543992
finagle-chirper,1301467690,110568315534,1711114543992
finagle-chirper,1306430114,111932660440,1711114543992
finagle-chirper,1320535091,113301822568,1711114543992
finagle-chirper,1310806286,114684978159,1711114543992
finagle-chirper,1299622168,116067701316,1711114543992
finagle-chirper,1299227897,117438944443,1711114543992
finagle-chirper,1293928301,118804770844,1711114543992
finagle-chirper,1280533304,120170030215,1711114543992
finagle-chirper,1284554676,121540649000,1711114543992
finagle-chirper,1277153915,122886858912,1711114543992
finagle-chirper,1282224669,124226684688,1711114543992
finagle-chirper,1284080786,125571505356,1711114543992
finagle-chirper,1285575475,126918484492,1711114543992
finagle-chirper,1279597298,128266248354,1711114543992
finagle-chirper,1279616947,129609804499,1711114543992
finagle-chirper,1287360994,130951598024,1711114543992
finagle-chirper,1283293798,132302772127,1711114543992
finagle-chirper,1282732140,133648167733,1711114543992
finagle-chirper,1282490231,135004898674,1711114543992
finagle-chirper,1287455440,136349699445,1711114543992
finagle-chirper,1288559822,137700175898,1711114543992
finagle-chirper,1289834028,139050681280,1711114543992
finagle-chirper,1292652802,140403851635,1711114543992
finagle-chirper,1276732469,141760039277,1711114543992
